game_id,datetime,home,away,home_score,away_score,game_type,venue,npb_game_category,npb_type_confidence,npb_training_default,npb_evaluation_default,home_starter,away_starter,home_lineup_json,away_lineup_json,home_pregame_starter,away_pregame_starter,home_pregame_lineup_json,away_pregame_lineup_json,player_rows_count,enrichment_mode,prediction_time_utc,starter_available_at,starter_state,starter_source,home_lineup_available_at,away_lineup_available_at,home_lineup_state,away_lineup_state,lineup_available_at,lineup_state,lineup_source,home_starter_era,home_starter_whip,home_starter_k9,home_starter_bb9,home_starter_hr9,home_starter_fip,home_starter_ip,home_starter_er,home_starter_h,home_starter_hr,home_starter_bb,home_starter_so,home_starter_pitches,home_starter_k_rate,home_starter_bb_rate,away_starter_era,away_starter_whip,away_starter_k9,away_starter_bb9,away_starter_hr9,away_starter_fip,away_starter_ip,away_starter_er,away_starter_h,away_starter_hr,away_starter_bb,away_starter_so,away_starter_pitches,away_starter_k_rate,away_starter_bb_rate,home_starter_line_ok,away_starter_line_ok,pregame_context_quality,pregame_starter_verified,pregame_lineup_verified
2021029797,2025-09-06 14:00:00,オリックス・バファローズ,北海道日本ハムファイターズ,3.0,1.0,UNKNOWN,京セラドーム大阪,unknown,low,False,False,1500110,1750595,[],[],,,,,0,light,2025-09-06T05:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,1.8,0.8,3.6,0.0,0.0,2.4000000000000004,5.0,1.0,4.0,0.0,0.0,2.0,,,,1.5,1.0,9.0,0.0,0.0,1.2000000000000002,6.0,1.0,6.0,0.0,0.0,6.0,,,,True,True,UNKNOWN,False,False
2021029798,2025-09-06 14:00:00,福岡ソフトバンクホークス,東北楽天ゴールデンイーグルス,2.0,1.0,UNKNOWN,みずほPayPayドーム福岡,unknown,low,False,False,2106793,1400117,[],[],,,,,0,light,2025-09-06T05:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,3.375,1.5,15.1875,6.75,0.0,2.075,5.333333333333333,2.0,4.0,0.0,4.0,9.0,,,,1.2857142857142858,0.7142857142857143,7.714285714285714,2.571428571428572,0.0,2.342857142857143,7.0,1.0,3.0,0.0,2.0,6.0,,,,True,True,UNKNOWN,False,False
2021029796,2025-09-06 17:00:00,埼玉西武ライオンズ,千葉ロッテマリーンズ,4.0,0.0,UNKNOWN,ベルーナドーム,unknown,low,False,False,2101268,1800081,[],[],,,,,0,light,2025-09-06T08:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,5.684210526315789,1.5789473684210529,2.8421052631578947,4.2631578947368425,1.4210526315789471,6.042105263157895,6.333333333333333,4.0,7.0,1.0,3.0,2.0,,,,0.0,0.2222222222222222,5.0,0.0,0.0,2.088888888888889,9.0,0.0,2.0,0.0,0.0,5.0,,,,True,True,UNKNOWN,False,False
2021029793,2025-09-06 18:00:00,横浜DeNAベイスターズ,東京ヤクルトスワローズ,2.0,3.0,UNKNOWN,横浜スタジアム,unknown,low,False,False,2000025,1650915,[],[],,,,,0,light,2025-09-06T09:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,3.0,1.3333333333333333,6.0,4.5,1.5,5.533333333333333,6.0,2.0,5.0,1.0,3.0,4.0,,,,5.0625,1.125,6.75,3.375,1.6875,5.2625,5.333333333333333,3.0,4.0,1.0,2.0,4.0,,,,True,True,UNKNOWN,False,False
2021029795,2025-09-06 18:00:00,阪神タイガース,広島東洋カープ,4.0,1.0,UNKNOWN,阪神甲子園球場,excluded,high,False,False,2110267,2104016,[],[],,,,,0,light,2025-09-06T09:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,1.8,1.0,10.8,3.6,0.0,2.0,5.0,1.0,3.0,0.0,2.0,6.0,,,,2.25,2.0,4.5,2.25,0.0,2.95,4.0,1.0,7.0,0.0,1.0,2.0,,,,True,True,UNKNOWN,False,False
2021029803,2025-09-07 13:00:00,オリックス・バファローズ,北海道日本ハムファイターズ,3.0,2.0,UNKNOWN,京セラドーム大阪,excluded,high,False,False,2100027,2000096,[],[],,,,,0,light,2025-09-07T04:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,3.375,1.5,5.0625,1.6875,0.0,2.6375,5.333333333333333,2.0,7.0,0.0,1.0,3.0,,,,3.6,1.4,19.8,7.2,1.8,3.8,5.0,2.0,3.0,1.0,4.0,11.0,,,,True,True,UNKNOWN,False,False
2021029804,2025-09-07 13:00:00,福岡ソフトバンクホークス,東北楽天ゴールデンイーグルス,2.0,4.0,UNKNOWN,みずほPayPayドーム福岡,unknown,low,False,False,2000123,2107909,[],[],,,,,0,light,2025-09-07T04:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,1.5,1.5,6.0,6.0,0.0,3.866666666666666,6.0,1.0,5.0,0.0,4.0,4.0,,,,6.75,1.5,13.5,4.5,4.5,8.2,4.0,3.0,4.0,2.0,2.0,6.0,,,,True,True,UNKNOWN,False,False
2021029800,2025-09-07 13:30:00,中日ドラゴンズ,読売ジャイアンツ,3.0,6.0,UNKNOWN,バンテリンドーム ナゴヤ,unknown,low,False,False,1800026,1200098,[],[],,,,,0,light,2025-09-07T04:30:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,4.5,2.25,4.5,6.75,2.25,7.7,4.0,2.0,6.0,1.0,3.0,2.0,,,,7.2,2.2,3.6,3.6,0.0,3.6,5.0,4.0,9.0,0.0,2.0,2.0,,,,True,True,UNKNOWN,False,False
2021029799,2025-09-07 18:00:00,横浜DeNAベイスターズ,東京ヤクルトスワローズ,3.0,2.0,UNKNOWN,横浜スタジアム,unknown,low,False,False,1200076,1200062,[],[],,,,,0,light,2025-09-07T09:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,3.0,1.0,7.5,0.0,1.5,3.7,6.0,2.0,6.0,1.0,0.0,5.0,,,,2.7,1.05,2.7,4.05,1.35,5.9,6.666666666666667,2.0,4.0,1.0,3.0,2.0,,,,True,True,UNKNOWN,False,False
2021029801,2025-09-07 18:00:00,阪神タイガース,広島東洋カープ,2.0,0.0,UNKNOWN,阪神甲子園球場,unknown,low,False,False,1600125,1600115,[],[],,,,,0,light,2025-09-07T09:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,2.25,2.0,9.0,2.25,0.0,1.95,4.0,1.0,7.0,0.0,1.0,4.0,,,,0.0,0.75,13.5,0.0,0.0,0.2000000000000001,4.0,0.0,3.0,0.0,0.0,6.0,,,,True,True,UNKNOWN,False,False
2021036651,2025-09-08 18:00:00,千葉ロッテマリーンズ,オリックス・バファローズ,4.0,2.0,UNKNOWN,ZOZOマリンスタジアム,unknown,low,False,False,2108177,2000090,[],[],,,,,0,light,2025-09-08T09:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,3.0,1.1666666666666667,7.5,3.0,0.0,2.5333333333333337,6.0,2.0,5.0,0.0,2.0,5.0,,,,1.8,1.2,5.4,0.0,0.0,2.0,5.0,1.0,6.0,0.0,0.0,3.0,,,,True,True,UNKNOWN,False,False
