game_id,datetime,home,away,home_score,away_score,game_type,venue,npb_game_category,npb_type_confidence,npb_training_default,npb_evaluation_default,home_starter,away_starter,home_lineup_json,away_lineup_json,home_pregame_starter,away_pregame_starter,home_pregame_lineup_json,away_pregame_lineup_json,player_rows_count,enrichment_mode,prediction_time_utc,starter_available_at,starter_state,starter_source,home_lineup_available_at,away_lineup_available_at,home_lineup_state,away_lineup_state,lineup_available_at,lineup_state,lineup_source,home_starter_era,home_starter_whip,home_starter_k9,home_starter_bb9,home_starter_hr9,home_starter_fip,home_starter_ip,home_starter_er,home_starter_h,home_starter_hr,home_starter_bb,home_starter_so,home_starter_pitches,home_starter_k_rate,home_starter_bb_rate,away_starter_era,away_starter_whip,away_starter_k9,away_starter_bb9,away_starter_hr9,away_starter_fip,away_starter_ip,away_starter_er,away_starter_h,away_starter_hr,away_starter_bb,away_starter_so,away_starter_pitches,away_starter_k_rate,away_starter_bb_rate,home_starter_line_ok,away_starter_line_ok,pregame_context_quality,pregame_starter_verified,pregame_lineup_verified,league,date,inning,half,event,addedRuns,pitcher
2021040040,2026-03-05 13:00:00,横浜DeNAベイスターズ,中日ドラゴンズ,9.0,7.0,UNKNOWN,横浜スタジアム,excluded,high,False,False,1600106,1650915,[],[],,,,,0,light,2026-03-05T04:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,7.2,1.4,0.0,3.6,0.0,4.4,5.0,4.0,5.0,0.0,2.0,0.0,,,,9.0,2.3333333333333335,3.0,3.0,0.0,3.5333333333333337,3.0,3.0,6.0,0.0,1.0,1.0,,,,True,True,UNKNOWN,False,False,NPB,2026-03-05 13:00:00,1,,,0,
2021040041,2026-03-05 13:00:00,福岡ソフトバンクホークス,東京ヤクルトスワローズ,5.0,1.0,UNKNOWN,みずほPayPayドーム福岡,excluded,high,False,False,2103794,1100099,[],[],,,,,0,light,2026-03-05T04:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,6.75,2.5,9.0,6.75,2.25,6.7,4.0,3.0,7.0,1.0,3.0,4.0,,,,0.0,0.25,9.0,0.0,0.0,1.2000000000000002,4.0,0.0,1.0,0.0,0.0,4.0,,,,True,True,UNKNOWN,False,False,NPB,2026-03-05 13:00:00,1,,,0,
2021040038,2026-03-05 18:00:00,北海道日本ハムファイターズ,埼玉西武ライオンズ,3.0,4.0,UNKNOWN,エスコンフィールドHOKKAIDO,excluded,high,False,False,2105080,1400195,[],[],,,,,0,light,2026-03-05T09:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,0.0,0.3333333333333333,6.0,0.0,0.0,1.866666666666667,3.0,0.0,1.0,0.0,0.0,2.0,,,,4.5,1.75,4.5,6.75,0.0,4.45,4.0,2.0,4.0,0.0,3.0,2.0,,,,True,True,UNKNOWN,False,False,NPB,2026-03-05 18:00:00,1,,,0,
2021040043,2026-03-06 14:00:00,阪神タイガース,福岡ソフトバンクホークス,5.0,0.0,UNKNOWN,阪神甲子園球場,excluded,high,False,False,2107909,2000055,[],[],,,,,0,light,2026-03-06T05:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,1.8,1.0,5.4,1.8,0.0,2.6,5.0,1.0,4.0,0.0,1.0,3.0,,,,0.0,0.6666666666666666,12.0,0.0,0.0,0.5333333333333337,3.0,0.0,2.0,0.0,0.0,4.0,,,,True,True,UNKNOWN,False,False,NPB,2026-03-06 14:00:00,1,,,0,
2021040042,2026-03-06 18:00:00,オリックス・バファローズ,読売ジャイアンツ,2.0,3.0,UNKNOWN,京セラドーム大阪,excluded,high,False,False,2000006,1600150,[],[],,,,,0,light,2026-03-06T09:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,0.0,0.5,6.75,0.0,0.0,1.7000000000000002,4.0,0.0,2.0,0.0,0.0,3.0,,,,2.25,1.75,2.25,0.0,0.0,2.7,4.0,1.0,7.0,0.0,0.0,1.0,,,,True,True,UNKNOWN,False,False,NPB,2026-03-06 18:00:00,1,,,0,
2021040045,2026-03-07 13:00:00,東北楽天ゴールデンイーグルス,横浜DeNAベイスターズ,2.0,9.0,UNKNOWN,静岡県草薙総合運動場硬式野球場,unknown,low,False,False,1700058,700049,[],[],,,,,0,light,2026-03-07T04:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,6.0,2.3333333333333335,12.0,3.0,0.0,1.5333333333333334,3.0,2.0,6.0,0.0,1.0,4.0,,,,5.3999999999999995,1.5,5.3999999999999995,0.0,0.0,2.0,3.3333333333333335,2.0,5.0,0.0,0.0,2.0,,,,True,True,UNKNOWN,False,False,NPB,2026-03-07 13:00:00,1,,,0,
2021040046,2026-03-07 13:00:00,埼玉西武ライオンズ,東京ヤクルトスワローズ,7.0,0.0,UNKNOWN,高知県立春野運動公園野球場,excluded,high,False,False,2000025,1700124,[],[],,,,,0,light,2026-03-07T04:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,2.25,1.5,4.5,2.25,0.0,2.95,4.0,1.0,5.0,0.0,1.0,2.0,,,,0.0,1.0,6.0,6.0,0.0,3.8666666666666667,3.0,0.0,1.0,0.0,2.0,2.0,,,,True,True,UNKNOWN,False,False,NPB,2026-03-07 13:00:00,1,,,0,
2021040048,2026-03-07 13:00:00,阪神タイガース,福岡ソフトバンクホークス,1.0,0.0,UNKNOWN,阪神甲子園球場,excluded,high,False,False,1700134,1700137,[],[],,,,,0,light,2026-03-07T04:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,2.25,1.25,13.5,4.5,0.0,1.7000000000000002,4.0,1.0,3.0,0.0,2.0,6.0,,,,0.0,0.6666666666666666,3.0,0.0,0.0,2.5333333333333337,3.0,0.0,2.0,0.0,0.0,1.0,,,,True,True,UNKNOWN,False,False,NPB,2026-03-07 13:00:00,1,,,0,
2021040049,2026-03-07 13:00:00,広島東洋カープ,中日ドラゴンズ,2.0,3.0,UNKNOWN,MAZDA Zoom-Zoom スタジアム広島,excluded,high,False,False,2000050,2103788,[],[],,,,,0,light,2026-03-07T04:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,1.8,0.8,3.6,0.0,1.8,5.0,5.0,1.0,4.0,1.0,0.0,2.0,,,,9.0,3.0,12.0,12.0,0.0,4.533333333333333,3.0,3.0,5.0,0.0,4.0,4.0,,,,True,True,UNKNOWN,False,False,NPB,2026-03-07 13:00:00,1,,,0,
2021040044,2026-03-07 14:00:00,北海道日本ハムファイターズ,千葉ロッテマリーンズ,5.0,3.0,UNKNOWN,エスコンフィールドHOKKAIDO,excluded,high,False,False,2102758,2108574,[],[],,,,,0,light,2026-03-07T05:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,9.0,1.6666666666666667,9.0,6.0,0.0,3.2,3.0,3.0,3.0,0.0,2.0,3.0,,,,0.0,0.6666666666666666,9.0,0.0,0.0,1.2000000000000002,3.0,0.0,2.0,0.0,0.0,3.0,,,,True,True,UNKNOWN,False,False,NPB,2026-03-07 14:00:00,1,,,0,
