game_id,datetime,home,away,home_score,away_score,game_type,venue,npb_game_category,npb_type_confidence,npb_training_default,npb_evaluation_default,home_starter,away_starter,home_lineup_json,away_lineup_json,home_pregame_starter,away_pregame_starter,home_pregame_lineup_json,away_pregame_lineup_json,player_rows_count,enrichment_mode,prediction_time_utc,starter_available_at,starter_state,starter_source,home_lineup_available_at,away_lineup_available_at,home_lineup_state,away_lineup_state,lineup_available_at,lineup_state,lineup_source,home_starter_era,home_starter_whip,home_starter_k9,home_starter_bb9,home_starter_hr9,home_starter_fip,home_starter_ip,home_starter_er,home_starter_h,home_starter_hr,home_starter_bb,home_starter_so,home_starter_pitches,home_starter_k_rate,home_starter_bb_rate,away_starter_era,away_starter_whip,away_starter_k9,away_starter_bb9,away_starter_hr9,away_starter_fip,away_starter_ip,away_starter_er,away_starter_h,away_starter_hr,away_starter_bb,away_starter_so,away_starter_pitches,away_starter_k_rate,away_starter_bb_rate,home_starter_line_ok,away_starter_line_ok,pregame_context_quality,pregame_starter_verified,pregame_lineup_verified,weather_valid_time_utc,weather_available_at,weather_state,weather_source,weather_pit_quality,weather_temp_c,weather_humidity_pct,weather_precip_mm,weather_wind_kmh,league,date,inning,half,event,addedRuns,pitcher
2020030304,2020-03-03 18:00:00,オリックス・バファローズ,千葉ロッテマリーンズ,6.0,2.0,UNKNOWN,京セラドーム大阪,excluded,high,False,False,1300050,1600153,[],[],,,,,0,light,2020-03-03 18:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,6.75,1.75,4.5,2.25,2.25,6.2,4.0,3.0,6.0,1.0,1.0,2.0,,,,3.6,0.8,10.8,0.0,0.0,0.8000000000000003,5.0,2.0,4.0,0.0,0.0,6.0,,,,True,True,UNKNOWN,False,False,,,,,,,,,,NPB,2020-03-03 18:00:00,1,,,0,
2020030402,2020-03-04 11:00:00,東北楽天ゴールデンイーグルス,横浜DeNAベイスターズ,9.0,2.0,UNKNOWN,草薙総合運動場野球場,unknown,low,False,False,1600081,900090,[],[],,,,,0,light,2020-03-04 11:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,5.4,1.8,3.6,1.8,0.0,3.0,5.0,3.0,8.0,0.0,1.0,2.0,,,,3.6,1.0,5.4,0.0,0.0,2.0,5.0,2.0,5.0,0.0,0.0,3.0,,,,True,True,UNKNOWN,False,False,,,,,,,,,,NPB,2020-03-04 11:00:00,1,,,0,
2020030403,2020-03-04 13:00:00,中日ドラゴンズ,埼玉西武ライオンズ,6.0,1.0,UNKNOWN,ナゴヤ球場,unknown,low,False,False,1600127,1600106,[],[],,,,,0,light,2020-03-04 13:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,UNKNOWN,False,False,,,,,,,,,,NPB,2020-03-04 13:00:00,1,,,0,
2020030405,2020-03-04 14:00:00,オリックス・バファローズ,千葉ロッテマリーンズ,6.0,6.0,UNKNOWN,京セラドーム大阪,excluded,high,False,False,1400190,1300108,[],[],,,,,0,light,2020-03-04 14:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,9.0,2.0,5.4,1.8,1.8,5.2,5.0,5.0,9.0,1.0,1.0,3.0,,,,0.0,1.6666666666666667,0.0,6.0,0.0,5.2,3.0,0.0,3.0,0.0,2.0,0.0,,,,True,True,UNKNOWN,False,False,,,,,,,,,,NPB,2020-03-04 14:00:00,1,,,0,
2020030401,2020-03-04 18:00:00,北海道日本ハムファイターズ,読売ジャイアンツ,7.0,7.0,UNKNOWN,札幌ドーム,excluded,high,False,False,1300029,1900129,[],[],,,,,0,light,2020-03-04 18:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,3.6,1.2,5.4,3.6,0.0,3.2,5.0,2.0,4.0,0.0,2.0,3.0,,,,7.7142857142857135,1.2857142857142856,3.8571428571428568,3.8571428571428568,1.9285714285714284,6.414285714285715,4.666666666666667,4.0,4.0,1.0,2.0,2.0,,,,True,True,UNKNOWN,False,False,,,,,,,,,,NPB,2020-03-04 18:00:00,1,,,0,
2020030406,2020-03-04 18:00:00,福岡ソフトバンクホークス,東京ヤクルトスワローズ,8.0,1.0,UNKNOWN,福岡PayPayドーム,excluded,high,False,False,1900025,20204,[],[],,,,,0,light,2020-03-04 18:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,13.5,2.625,3.375,6.75,3.375,9.575,2.6666666666666665,4.0,5.0,1.0,2.0,1.0,,,,2.25,1.0,11.25,2.25,2.25,4.7,4.0,1.0,3.0,1.0,1.0,5.0,,,,True,True,UNKNOWN,False,False,,,,,,,,,,NPB,2020-03-04 18:00:00,1,,,0,
2020030501,2020-03-05 13:00:00,東北楽天ゴールデンイーグルス,横浜DeNAベイスターズ,4.0,0.0,UNKNOWN,草薙総合運動場野球場,excluded,high,False,False,1500061,1600005,[],[],,,,,0,light,2020-03-05 13:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,5.4,1.6,12.6,1.8,0.0,1.0,5.0,3.0,7.0,0.0,1.0,7.0,,,,0.0,0.6,3.6,1.8,0.0,3.0,5.0,0.0,2.0,0.0,1.0,2.0,,,,True,True,UNKNOWN,False,False,,,,,,,,,,NPB,2020-03-05 13:00:00,1,,,0,
2020030503,2020-03-05 18:00:00,福岡ソフトバンクホークス,東京ヤクルトスワローズ,5.0,3.0,UNKNOWN,福岡PayPayドーム,excluded,high,False,False,1900137,1300080,[],[],,,,,0,light,2020-03-05 18:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,2.25,1.25,4.5,4.5,2.25,6.95,4.0,1.0,3.0,1.0,2.0,2.0,,,,2.25,1.0,11.25,4.5,0.0,2.2,4.0,1.0,2.0,0.0,2.0,5.0,,,,True,True,UNKNOWN,False,False,,,,,,,,,,NPB,2020-03-05 18:00:00,1,,,0,
2020030601,2020-03-06 13:00:00,東北楽天ゴールデンイーグルス,中日ドラゴンズ,3.0,1.0,UNKNOWN,草薙総合運動場野球場,excluded,high,False,False,1500074,1200117,[],[],,,,,0,light,2020-03-06 13:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,5.4,2.2,3.6,7.2,0.0,4.800000000000001,5.0,3.0,7.0,0.0,4.0,2.0,,,,1.8,0.4,7.2,0.0,0.0,1.6,5.0,1.0,2.0,0.0,0.0,4.0,,,,True,True,UNKNOWN,False,False,,,,,,,,,,NPB,2020-03-06 13:00:00,1,,,0,
2020030602,2020-03-06 13:00:00,阪神タイガース,北海道日本ハムファイターズ,3.0,0.0,UNKNOWN,阪神甲子園球場,excluded,high,False,False,1400117,900062,[],[],,,,,0,light,2020-03-06 13:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,4.153846153846154,0.46153846153846156,8.307692307692308,0.0,0.0,1.353846153846154,4.333333333333333,2.0,2.0,0.0,0.0,4.0,,,,0.0,1.8,5.4,1.8,0.0,2.6,5.0,0.0,8.0,0.0,1.0,3.0,,,,True,True,UNKNOWN,False,False,,,,,,,,,,NPB,2020-03-06 13:00:00,1,,,0,
