datetime,weather_temp_c,weather_humidity_pct,weather_precip_mm,weather_wind_kmh,venue,weather_valid_time_utc,weather_available_at,weather_state,weather_source,weather_pit_quality
2021-03-01 00:00:00,6.1,86,0.0,3.9,東京ドーム,2021-02-28 15:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2021-03-01 01:00:00,5.8,82,0.0,4.0,東京ドーム,2021-02-28 16:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2021-03-01 02:00:00,5.3,76,0.0,2.5,東京ドーム,2021-02-28 17:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2021-03-01 03:00:00,4.3,74,0.0,2.5,東京ドーム,2021-02-28 18:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2021-03-01 04:00:00,4.1,71,0.0,4.0,東京ドーム,2021-02-28 19:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2021-03-01 05:00:00,3.7,69,0.0,4.2,東京ドーム,2021-02-28 20:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2021-03-01 06:00:00,3.5,66,0.0,4.0,東京ドーム,2021-02-28 21:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2021-03-01 07:00:00,3.6,62,0.0,4.0,東京ドーム,2021-02-28 22:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2021-03-01 08:00:00,5.1,55,0.0,3.8,東京ドーム,2021-02-28 23:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2021-03-01 09:00:00,7.3,47,0.0,1.8,東京ドーム,2021-03-01 00:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2021-03-01 10:00:00,10.0,44,0.0,2.1,東京ドーム,2021-03-01 01:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2021-03-01 11:00:00,12.6,49,0.0,7.4,東京ドーム,2021-03-01 02:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2021-03-01 12:00:00,14.1,58,0.0,9.6,東京ドーム,2021-03-01 03:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2021-03-01 13:00:00,15.7,55,0.0,11.2,東京ドーム,2021-03-01 04:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
