datetime,weather_temp_c,weather_humidity_pct,weather_precip_mm,weather_wind_kmh,venue,weather_valid_time_utc,weather_available_at,weather_state,weather_source,weather_pit_quality
2017-03-01 00:00:00,2.7,71,0.0,3.6,東京ドーム,2017-02-28 15:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2017-03-01 01:00:00,2.2,75,0.0,3.9,東京ドーム,2017-02-28 16:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2017-03-01 02:00:00,1.9,77,0.0,3.4,東京ドーム,2017-02-28 17:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2017-03-01 03:00:00,1.4,78,0.0,5.2,東京ドーム,2017-02-28 18:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2017-03-01 04:00:00,0.6,83,0.0,3.2,東京ドーム,2017-02-28 19:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2017-03-01 05:00:00,0.2,85,0.0,3.8,東京ドーム,2017-02-28 20:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2017-03-01 06:00:00,-0.1,87,0.0,3.5,東京ドーム,2017-02-28 21:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2017-03-01 07:00:00,0.3,84,0.0,4.1,東京ドーム,2017-02-28 22:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2017-03-01 08:00:00,2.0,74,0.0,3.3,東京ドーム,2017-02-28 23:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2017-03-01 09:00:00,4.1,67,0.0,2.8,東京ドーム,2017-03-01 00:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2017-03-01 10:00:00,6.1,58,0.0,3.3,東京ドーム,2017-03-01 01:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2017-03-01 11:00:00,8.4,50,0.0,3.3,東京ドーム,2017-03-01 02:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2017-03-01 12:00:00,9.7,46,0.0,3.8,東京ドーム,2017-03-01 03:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
