league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,718771,2023-03-31 22:40:00+00:00,Miami Marlins,New York Mets,2.0,1.0,Jesús Luzardo,David Peterson,loanDepot park,R,Regular Season,True
MLB,718764,2023-04-01 00:10:00+00:00,Houston Astros,Chicago White Sox,6.0,3.0,Cristian Javier,Lance Lynn,Minute Maid Park,R,Regular Season,True
MLB,718766,2023-04-01 01:40:00+00:00,San Diego Padres,Colorado Rockies,1.0,4.0,Nick Martinez,Kyle Freeland,Petco Park,R,Regular Season,True
MLB,718763,2023-04-01 02:10:00+00:00,Seattle Mariners,Cleveland Guardians,4.0,9.0,Robbie Ray,Hunter Gaddis,T-Mobile Park,R,Regular Season,True
MLB,718765,2023-04-01 02:10:00+00:00,Los Angeles Dodgers,Arizona Diamondbacks,1.0,2.0,Dustin May,Merrill Kelly,Dodger Stadium,R,Regular Season,True
MLB,718760,2023-04-01 18:10:00+00:00,Houston Astros,Chicago White Sox,6.0,4.0,José Urquidy,Lucas Giolito,Minute Maid Park,R,Regular Season,True
MLB,718759,2023-04-01 18:15:00+00:00,St. Louis Cardinals,Toronto Blue Jays,4.0,1.0,Jack Flaherty,Kevin Gausman,Busch Stadium,R,Regular Season,True
MLB,718758,2023-04-01 18:20:00+00:00,Chicago Cubs,Milwaukee Brewers,1.0,3.0,Justin Steele,Brandon Woodruff,Wrigley Field,R,Regular Season,True
MLB,718752,2023-04-01 20:05:00+00:00,Texas Rangers,Philadelphia Phillies,16.0,3.0,Nathan Eovaldi,Zack Wheeler,Globe Life Field,R,Regular Season,True
MLB,718753,2023-04-01 20:05:00+00:00,Washington Nationals,Atlanta Braves,1.0,7.0,Josiah Gray,Spencer Strider,Nationals Park,R,Regular Season,True
MLB,718762,2023-04-01 20:05:00+00:00,New York Yankees,San Francisco Giants,5.0,7.0,Clarke Schmidt,Alex Cobb,Yankee Stadium,R,Regular Season,True
MLB,718757,2023-04-01 20:07:00+00:00,Oakland Athletics,Los Angeles Angels,1.0,13.0,Shintaro Fujinami,Patrick Sandoval,Oakland Coliseum,R,Regular Season,True
MLB,718751,2023-04-01 20:10:00+00:00,Kansas City Royals,Minnesota Twins,0.0,2.0,Jordan Lyles,Sonny Gray,Kauffman Stadium,R,Regular Season,True
MLB,718754,2023-04-01 20:10:00+00:00,Tampa Bay Rays,Detroit Tigers,12.0,2.0,Zach Eflin,Spencer Turnbull,Tropicana Field,R,Regular Season,True
MLB,718755,2023-04-01 20:10:00+00:00,Miami Marlins,New York Mets,2.0,6.0,Edward Cabrera,Tylor Megill,loanDepot park,R,Regular Season,True
MLB,718756,2023-04-01 20:10:00+00:00,Cincinnati Reds,Pittsburgh Pirates,6.0,2.0,Nick Lodolo,Rich Hill,Great American Ball Park,R,Regular Season,True
MLB,718761,2023-04-01 20:10:00+00:00,Boston Red Sox,Baltimore Orioles,9.0,8.0,Chris Sale,Dean Kremer,Fenway Park,R,Regular Season,True
MLB,718750,2023-04-02 00:40:00+00:00,San Diego Padres,Colorado Rockies,8.0,4.0,Michael Wacha,José Ureña,Petco Park,R,Regular Season,True
MLB,718749,2023-04-02 01:10:00+00:00,Los Angeles Dodgers,Arizona Diamondbacks,10.0,1.0,Clayton Kershaw,Madison Bumgarner,Dodger Stadium,R,Regular Season,True
MLB,718746,2023-04-02 01:40:00+00:00,Seattle Mariners,Cleveland Guardians,0.0,2.0,Logan Gilbert,Aaron Civale,T-Mobile Park,R,Regular Season,True
MLB,718742,2023-04-02 17:10:00+00:00,Tampa Bay Rays,Detroit Tigers,5.0,1.0,Jeffrey Springs,Joey Wentz,Tropicana Field,R,Regular Season,True
MLB,718743,2023-04-02 17:35:00+00:00,Washington Nationals,Atlanta Braves,4.0,1.0,MacKenzie Gore,Jared Shuster,Nationals Park,R,Regular Season,True
MLB,718747,2023-04-02 17:35:00+00:00,New York Yankees,San Francisco Giants,6.0,0.0,Jhony Brito,Ross Stripling,Yankee Stadium,R,Regular Season,True
MLB,718748,2023-04-02 17:35:00+00:00,Boston Red Sox,Baltimore Orioles,9.0,5.0,Tanner Houck,Cole Irvin,Fenway Park,R,Regular Season,True
MLB,718741,2023-04-02 17:40:00+00:00,Miami Marlins,New York Mets,1.0,5.0,Trevor Rogers,Kodai Senga,loanDepot park,R,Regular Season,True
MLB,718744,2023-04-02 17:40:00+00:00,Cincinnati Reds,Pittsburgh Pirates,3.0,1.0,Graham Ashcraft,Vince Velasquez,Great American Ball Park,R,Regular Season,True
MLB,718740,2023-04-02 18:10:00+00:00,Houston Astros,Chicago White Sox,3.0,6.0,Luis Garcia,Mike Clevinger,Minute Maid Park,R,Regular Season,True
MLB,718745,2023-04-02 18:10:00+00:00,Kansas City Royals,Minnesota Twins,4.0,7.0,Brad Keller,Joe Ryan,Kauffman Stadium,R,Regular Season,True
MLB,718737,2023-04-02 18:15:00+00:00,St. Louis Cardinals,Toronto Blue Jays,9.0,4.0,Jordan Montgomery,Chris Bassitt,Busch Stadium,R,Regular Season,True
MLB,718738,2023-04-02 18:20:00+00:00,Chicago Cubs,Milwaukee Brewers,5.0,9.0,Jameson Taillon,Eric Lauer,Wrigley Field,R,Regular Season,True
MLB,718734,2023-04-02 20:07:00+00:00,Oakland Athletics,Los Angeles Angels,0.0,6.0,Ken Waldichuk,Tyler Anderson,Oakland Coliseum,R,Regular Season,True
MLB,718733,2023-04-02 20:10:00+00:00,San Diego Padres,Colorado Rockies,3.0,1.0,Seth Lugo,Austin Gomber,Petco Park,R,Regular Season,True
MLB,718735,2023-04-02 20:10:00+00:00,Seattle Mariners,Cleveland Guardians,5.0,6.0,Marco Gonzales,Cal Quantrill,T-Mobile Park,R,Regular Season,True
MLB,718736,2023-04-02 20:10:00+00:00,Los Angeles Dodgers,Arizona Diamondbacks,1.0,2.0,Noah Syndergaard,Zach Davies,Dodger Stadium,R,Regular Season,True
MLB,718739,2023-04-02 23:08:00+00:00,Texas Rangers,Philadelphia Phillies,2.0,1.0,Martín Pérez,Bailey Falter,Globe Life Field,R,Regular Season,True
MLB,718731,2023-04-03 18:10:00+00:00,Milwaukee Brewers,New York Mets,10.0,0.0,Freddy Peralta,Carlos Carrasco,American Family Field,R,Regular Season,True
