league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,661937,2022-08-18 17:15:00+00:00,St. Louis Cardinals,Colorado Rockies,13.0,0.0,Adam Wainwright,Antonio Senzatela,Busch Stadium,R,Regular Season,True
MLB,661787,2022-08-18 18:05:00+00:00,Texas Rangers,Oakland Athletics,10.0,3.0,Dane Dunning,Zach Logue,Globe Life Field,R,Regular Season,True
MLB,661179,2022-08-18 18:10:00+00:00,Milwaukee Brewers,Los Angeles Dodgers,5.0,3.0,Corbin Burnes,Andrew Heaney,American Family Field,R,Regular Season,True
MLB,661446,2022-08-18 18:10:00+00:00,Chicago White Sox,Houston Astros,5.0,21.0,Lucas Giolito,Luis Garcia,Guaranteed Rate Field,R,Regular Season,True
MLB,661109,2022-08-18 19:05:00+00:00,Baltimore Orioles,Chicago Cubs,2.0,3.0,Spenser Watkins,Adrian Sampson,Oriole Park at Camden Yards,R,Regular Season,True
MLB,662002,2022-08-18 19:45:00+00:00,San Francisco Giants,Arizona Diamondbacks,0.0,5.0,Logan Webb,Zac Gallen,Oracle Park,R,Regular Season,True
MLB,661265,2022-08-18 23:05:00+00:00,New York Yankees,Toronto Blue Jays,2.0,9.0,Frankie Montas,José Berríos,Yankee Stadium,R,Regular Season,True
MLB,662413,2022-08-18 23:05:00+00:00,Pittsburgh Pirates,Boston Red Sox,8.0,2.0,JT Brubaker,Josh Winckowski,PNC Park,R,Regular Season,True
MLB,661863,2022-08-18 23:10:00+00:00,Tampa Bay Rays,Kansas City Royals,7.0,1.0,Luis Patiño,Max Castillo,Tropicana Field,R,Regular Season,True
MLB,661493,2022-08-18 23:20:00+00:00,Atlanta Braves,New York Mets,3.0,2.0,Max Fried,Jacob deGrom,Truist Park,R,Regular Season,True
MLB,662182,2022-08-19 01:40:00+00:00,San Diego Padres,Washington Nationals,1.0,3.0,Yu Darvish,Aníbal Sánchez,Petco Park,R,Regular Season,True
MLB,663228,2022-08-19 18:20:00+00:00,Chicago Cubs,Milwaukee Brewers,8.0,7.0,Keegan Thompson,Aaron Ashby,Wrigley Field,R,Regular Season,True
MLB,661044,2022-08-19 23:05:00+00:00,Baltimore Orioles,Boston Red Sox,15.0,10.0,Jordan Lyles,Kutter Crawford,Oriole Park at Camden Yards,R,Regular Season,True
MLB,661319,2022-08-19 23:05:00+00:00,New York Yankees,Toronto Blue Jays,0.0,4.0,Jameson Taillon,Kevin Gausman,Yankee Stadium,R,Regular Season,True
MLB,661607,2022-08-19 23:05:00+00:00,Philadelphia Phillies,New York Mets,2.0,7.0,Aaron Nola,Chris Bassitt,Citizens Bank Park,R,Regular Season,True
MLB,662396,2022-08-19 23:05:00+00:00,Pittsburgh Pirates,Cincinnati Reds,5.0,4.0,Bryse Wilson,Graham Ashcraft,PNC Park,R,Regular Season,True
MLB,661862,2022-08-19 23:10:00+00:00,Tampa Bay Rays,Kansas City Royals,2.0,3.0,Shane McClanahan,Brady Singer,Tropicana Field,R,Regular Season,True
MLB,662808,2022-08-19 23:10:00+00:00,Detroit Tigers,Los Angeles Angels,0.0,1.0,Matt Manning,Patrick Sandoval,Comerica Park,R,Regular Season,True
MLB,662936,2022-08-19 23:10:00+00:00,Cleveland Guardians,Chicago White Sox,5.0,2.0,Triston McKenzie,Lance Lynn,Progressive Field,R,Regular Season,True
MLB,661492,2022-08-19 23:20:00+00:00,Atlanta Braves,Houston Astros,6.0,2.0,Kyle Wright,Lance McCullers Jr.,Truist Park,R,Regular Season,True
MLB,661655,2022-08-20 00:10:00+00:00,Minnesota Twins,Texas Rangers,2.0,1.0,Dylan Bundy,Martín Pérez,Target Field,R,Regular Season,True
MLB,662880,2022-08-20 00:40:00+00:00,Colorado Rockies,San Francisco Giants,7.0,4.0,José Ureña,Alex Wood,Coors Field,R,Regular Season,True
MLB,662181,2022-08-20 01:40:00+00:00,San Diego Padres,Washington Nationals,3.0,6.0,Blake Snell,Paolo Espino,Petco Park,R,Regular Season,True
MLB,662341,2022-08-20 01:40:00+00:00,Oakland Athletics,Seattle Mariners,2.0,10.0,Cole Irvin,Marco Gonzales,Oakland Coliseum,R,Regular Season,True
MLB,663292,2022-08-20 01:40:00+00:00,Arizona Diamondbacks,St. Louis Cardinals,1.0,5.0,Tommy Henry,Miles Mikolas,Chase Field,R,Regular Season,True
MLB,662574,2022-08-20 02:10:00+00:00,Los Angeles Dodgers,Miami Marlins,2.0,1.0,Tyler Anderson,Jesús Luzardo,Dodger Stadium,R,Regular Season,True
MLB,661240,2022-08-20 17:05:00+00:00,New York Yankees,Toronto Blue Jays,2.0,5.0,Gerrit Cole,Mitch White,Yankee Stadium,R,Regular Season,True
MLB,661628,2022-08-20 17:05:00+00:00,Philadelphia Phillies,New York Mets,2.0,8.0,Zack Wheeler,Trevor Williams,Citizens Bank Park,R,Regular Season,True
MLB,662917,2022-08-20 17:10:00+00:00,Detroit Tigers,Los Angeles Angels,4.0,3.0,Tyler Alexander,Reid Detmers,Comerica Park,R,Regular Season,True
MLB,663116,2022-08-20 18:20:00+00:00,Chicago Cubs,Milwaukee Brewers,6.0,5.0,Marcus Stroman,Freddy Peralta,Wrigley Field,R,Regular Season,True
MLB,661043,2022-08-20 20:05:00+00:00,Baltimore Orioles,Boston Red Sox,3.0,4.0,Kyle Bradish,Michael Wacha,Oriole Park at Camden Yards,R,Regular Season,True
MLB,661861,2022-08-20 20:10:00+00:00,Tampa Bay Rays,Kansas City Royals,5.0,2.0,Drew Rasmussen,Kris Bubic,Tropicana Field,R,Regular Season,True
MLB,662953,2022-08-20 22:10:00+00:00,Cleveland Guardians,Chicago White Sox,0.0,2.0,Shane Bieber,Johnny Cueto,Progressive Field,R,Regular Season,True
MLB,662395,2022-08-20 23:05:00+00:00,Pittsburgh Pirates,Cincinnati Reds,1.0,10.0,Tyler Beede,Justin Dunn,PNC Park,R,Regular Season,True
MLB,661670,2022-08-20 23:10:00+00:00,Minnesota Twins,Texas Rangers,3.0,4.0,Chris Archer,Glenn Otto Jr.,Target Field,R,Regular Season,True
MLB,661606,2022-08-20 23:15:00+00:00,Philadelphia Phillies,New York Mets,4.0,1.0,Bailey Falter,David Peterson,Citizens Bank Park,R,Regular Season,True
MLB,661610,2022-08-20 23:15:00+00:00,Atlanta Braves,Houston Astros,5.0,4.0,Spencer Strider,Cristian Javier,Truist Park,R,Regular Season,True
MLB,662340,2022-08-20 23:15:00+00:00,Oakland Athletics,Seattle Mariners,4.0,3.0,James Kaprielian,Logan Gilbert,Oakland Coliseum,R,Regular Season,True
MLB,662879,2022-08-21 00:10:00+00:00,Colorado Rockies,San Francisco Giants,4.0,3.0,Ryan Feltner,Alex Cobb,Coors Field,R,Regular Season,True
MLB,663291,2022-08-21 00:10:00+00:00,Arizona Diamondbacks,St. Louis Cardinals,7.0,16.0,Madison Bumgarner,Dakota Hudson,Chase Field,R,Regular Season,True
MLB,662180,2022-08-21 00:40:00+00:00,San Diego Padres,Washington Nationals,2.0,1.0,Joe Musgrove,Josiah Gray,Petco Park,R,Regular Season,True
MLB,662561,2022-08-21 01:10:00+00:00,Los Angeles Dodgers,Miami Marlins,7.0,0.0,Dustin May,Bryan Hoeing,Dodger Stadium,R,Regular Season,True
MLB,661239,2022-08-21 17:35:00+00:00,New York Yankees,Toronto Blue Jays,4.0,2.0,Nestor Cortes,Alek Manoah,Yankee Stadium,R,Regular Season,True
MLB,661480,2022-08-21 17:35:00+00:00,Atlanta Braves,Houston Astros,4.0,5.0,Charlie Morton,José Urquidy,Truist Park,R,Regular Season,True
MLB,661602,2022-08-21 17:35:00+00:00,Philadelphia Phillies,New York Mets,9.0,10.0,Kyle Gibson,José Buttó,Citizens Bank Park,R,Regular Season,True
MLB,662300,2022-08-21 17:35:00+00:00,Pittsburgh Pirates,Cincinnati Reds,5.0,9.0,Zach Thompson,Mike Minor,PNC Park,R,Regular Season,True
MLB,661860,2022-08-21 17:40:00+00:00,Tampa Bay Rays,Kansas City Royals,3.0,2.0,Ryan Yarbrough,Zack Greinke,Tropicana Field,R,Regular Season,True
MLB,662805,2022-08-21 17:40:00+00:00,Detroit Tigers,Los Angeles Angels,4.0,0.0,Eduardo Rodriguez,Shohei Ohtani,Comerica Park,R,Regular Season,True
MLB,661652,2022-08-21 18:10:00+00:00,Minnesota Twins,Texas Rangers,0.0,7.0,Joe Ryan,Kohei Arihara,Target Field,R,Regular Season,True
MLB,663115,2022-08-21 18:20:00+00:00,Chicago Cubs,Milwaukee Brewers,2.0,5.0,Justin Steele,Brandon Woodruff,Wrigley Field,R,Regular Season,True
MLB,662878,2022-08-21 19:10:00+00:00,Colorado Rockies,San Francisco Giants,8.0,9.0,Kyle Freeland,Jakob Junis,Coors Field,R,Regular Season,True
MLB,662315,2022-08-21 20:07:00+00:00,Oakland Athletics,Seattle Mariners,5.0,3.0,JP Sears,Luis Castillo,Oakland Coliseum,R,Regular Season,True
MLB,662179,2022-08-21 20:10:00+00:00,San Diego Padres,Washington Nationals,2.0,1.0,Sean Manaea,Patrick Corbin,Petco Park,R,Regular Season,True
MLB,662600,2022-08-21 20:10:00+00:00,Los Angeles Dodgers,Miami Marlins,10.0,3.0,Ryan Pepiot,Sandy Alcantara,Dodger Stadium,R,Regular Season,True
MLB,663301,2022-08-21 20:10:00+00:00,Arizona Diamondbacks,St. Louis Cardinals,4.0,6.0,Merrill Kelly,Jose Quintana,Chase Field,R,Regular Season,True
MLB,661051,2022-08-21 23:10:00+00:00,Baltimore Orioles,Boston Red Sox,5.0,3.0,Dean Kremer,Nick Pivetta,Muncy Bank Ballpark,R,Regular Season,True
MLB,662767,2022-08-22 18:10:00+00:00,Kansas City Royals,Chicago White Sox,6.0,4.0,Daniel Lynch IV,Michael Kopech,Kauffman Stadium,R,Regular Season,True
MLB,661238,2022-08-22 23:05:00+00:00,New York Yankees,New York Mets,4.0,2.0,Domingo Germán,Max Scherzer,Yankee Stadium,R,Regular Season,True
MLB,661601,2022-08-22 23:05:00+00:00,Philadelphia Phillies,Cincinnati Reds,4.0,1.0,Noah Syndergaard,Luis Cessa,Citizens Bank Park,R,Regular Season,True
MLB,662394,2022-08-22 23:05:00+00:00,Pittsburgh Pirates,Atlanta Braves,1.0,2.0,Roansy Contreras,Jake Odorizzi,PNC Park,R,Regular Season,True
MLB,661658,2022-08-22 23:10:00+00:00,Minnesota Twins,Texas Rangers,1.0,2.0,Sonny Gray,Cole Ragans,Target Field,R,Regular Season,True
MLB,661859,2022-08-22 23:10:00+00:00,Tampa Bay Rays,Los Angeles Angels,2.0,1.0,Jeffrey Springs,Tucker Davidson,Tropicana Field,R,Regular Season,True
MLB,663114,2022-08-23 00:05:00+00:00,Chicago Cubs,St. Louis Cardinals,0.0,1.0,Drew Smyly,Jordan Montgomery,Wrigley Field,R,Regular Season,True
MLB,662314,2022-08-23 01:40:00+00:00,Oakland Athletics,Miami Marlins,0.0,3.0,Adam Oller,Edward Cabrera,Oakland Coliseum,R,Regular Season,True
MLB,662594,2022-08-23 02:10:00+00:00,Los Angeles Dodgers,Milwaukee Brewers,0.0,4.0,Julio Urías,Eric Lauer,Dodger Stadium,R,Regular Season,True
MLB,663163,2022-08-23 18:20:00+00:00,Chicago Cubs,St. Louis Cardinals,2.0,0.0,Javier Assad,Adam Wainwright,Wrigley Field,R,Regular Season,True
MLB,661237,2022-08-23 23:05:00+00:00,New York Yankees,New York Mets,4.0,2.0,Frankie Montas,Taijuan Walker,Yankee Stadium,R,Regular Season,True
MLB,661600,2022-08-23 23:05:00+00:00,Philadelphia Phillies,Cincinnati Reds,7.0,6.0,Ranger Suarez,Nick Lodolo,Citizens Bank Park,R,Regular Season,True
MLB,662383,2022-08-23 23:05:00+00:00,Pittsburgh Pirates,Atlanta Braves,1.0,6.0,JT Brubaker,Max Fried,PNC Park,R,Regular Season,True
MLB,663461,2022-08-23 23:05:00+00:00,Baltimore Orioles,Chicago White Sox,5.0,3.0,Austin Voth,Dylan Cease,Oriole Park at Camden Yards,R,Regular Season,True
MLB,661858,2022-08-23 23:10:00+00:00,Tampa Bay Rays,Los Angeles Angels,11.0,1.0,Corey Kluber,José Suarez,Tropicana Field,R,Regular Season,True
MLB,662914,2022-08-23 23:10:00+00:00,Detroit Tigers,San Francisco Giants,1.0,3.0,Drew Hutchison,Carlos Rodón,Comerica Park,R,Regular Season,True
MLB,663174,2022-08-23 23:10:00+00:00,Boston Red Sox,Toronto Blue Jays,3.0,9.0,Josh Winckowski,Ross Stripling,Fenway Park,R,Regular Season,True
