league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,662769,2022-10-02 16:10:00+00:00,Detroit Tigers,Minnesota Twins,5.0,2.0,Joey Wentz,Simeon Woods Richardson,Comerica Park,R,Regular Season,True
MLB,661096,2022-10-02 17:35:00+00:00,Washington Nationals,Philadelphia Phillies,1.0,8.0,Patrick Corbin,Zack Wheeler,Nationals Park,R,Regular Season,True
MLB,661215,2022-10-02 17:35:00+00:00,New York Yankees,Baltimore Orioles,1.0,3.0,Chi Chi González,Kyle Bradish,Yankee Stadium,R,Regular Season,True
MLB,661735,2022-10-02 17:37:00+00:00,Toronto Blue Jays,Boston Red Sox,6.0,3.0,Kevin Gausman,Michael Wacha,Rogers Centre,R,Regular Season,True
MLB,662938,2022-10-02 17:40:00+00:00,Cleveland Guardians,Kansas City Royals,7.0,5.0,Shane Bieber,Max Castillo,Progressive Field,R,Regular Season,True
MLB,661153,2022-10-02 18:10:00+00:00,Milwaukee Brewers,Miami Marlins,3.0,4.0,Freddy Peralta,Pablo López,American Family Field,R,Regular Season,True
MLB,662825,2022-10-02 18:10:00+00:00,Houston Astros,Tampa Bay Rays,3.0,1.0,Luis Garcia,Corey Kluber,Minute Maid Park,R,Regular Season,True
MLB,661954,2022-10-02 18:15:00+00:00,St. Louis Cardinals,Pittsburgh Pirates,5.0,7.0,Adam Wainwright,Roansy Contreras,Busch Stadium,R,Regular Season,True
MLB,663097,2022-10-02 18:20:00+00:00,Chicago Cubs,Cincinnati Reds,8.0,1.0,Marcus Stroman,Chase Anderson,Wrigley Field,R,Regular Season,True
MLB,662022,2022-10-02 20:05:00+00:00,San Francisco Giants,Arizona Diamondbacks,4.0,3.0,Scott Alexander,Zach Davies,Oracle Park,R,Regular Season,True
MLB,663419,2022-10-02 20:07:00+00:00,Los Angeles Angels,Texas Rangers,8.0,3.0,Tucker Davidson,Tyson Miller,Angel Stadium,R,Regular Season,True
MLB,662087,2022-10-02 20:10:00+00:00,Seattle Mariners,Oakland Athletics,3.0,10.0,Robbie Ray,James Kaprielian,T-Mobile Park,R,Regular Season,True
MLB,662190,2022-10-02 20:10:00+00:00,San Diego Padres,Chicago White Sox,1.0,2.0,Blake Snell,Lance Lynn,Petco Park,R,Regular Season,True
MLB,662581,2022-10-02 20:10:00+00:00,Los Angeles Dodgers,Colorado Rockies,1.0,4.0,Tyler Anderson,Germán Márquez,Dodger Stadium,R,Regular Season,True
MLB,661465,2022-10-02 23:08:00+00:00,Atlanta Braves,New York Mets,5.0,3.0,Charlie Morton,Chris Bassitt,Truist Park,R,Regular Season,True
MLB,663105,2022-10-03 22:10:00+00:00,Cleveland Guardians,Kansas City Royals,2.0,5.0,Triston McKenzie,Zack Greinke,Progressive Field,R,Regular Season,True
MLB,662309,2022-10-03 22:35:00+00:00,Pittsburgh Pirates,St. Louis Cardinals,3.0,2.0,Mitch Keller,Jose Quintana,PNC Park,R,Regular Season,True
MLB,661424,2022-10-03 22:40:00+00:00,Miami Marlins,Atlanta Braves,4.0,0.0,Jesús Luzardo,Bryce Elder,loanDepot park,R,Regular Season,True
MLB,663096,2022-10-03 22:40:00+00:00,Cincinnati Reds,Chicago Cubs,3.0,1.0,Hunter Greene,Hayden Wesneski,Great American Ball Park,R,Regular Season,True
MLB,662044,2022-10-03 23:05:00+00:00,Texas Rangers,New York Yankees,1.0,3.0,Martín Pérez,Luis Severino,Globe Life Field,R,Regular Season,True
MLB,663273,2022-10-03 23:05:00+00:00,Baltimore Orioles,Toronto Blue Jays,1.0,5.0,Dean Kremer,José Berríos,Oriole Park at Camden Yards,R,Regular Season,True
MLB,663453,2022-10-03 23:10:00+00:00,Boston Red Sox,Tampa Bay Rays,4.0,3.0,Rich Hill,Tyler Glasnow,Fenway Park,R,Regular Season,True
MLB,661213,2022-10-03 23:40:00+00:00,Milwaukee Brewers,Arizona Diamondbacks,6.0,5.0,Brandon Woodruff,Tommy Henry,American Family Field,R,Regular Season,True
MLB,661464,2022-10-04 00:10:00+00:00,Chicago White Sox,Minnesota Twins,3.0,2.0,Johnny Cueto,Bailey Ober,Guaranteed Rate Field,R,Regular Season,True
MLB,662777,2022-10-04 00:10:00+00:00,Houston Astros,Philadelphia Phillies,0.0,3.0,Lance McCullers Jr.,Aaron Nola,Minute Maid Park,R,Regular Season,True
MLB,662201,2022-10-04 01:40:00+00:00,Seattle Mariners,Detroit Tigers,3.0,4.0,George Kirby,Bryan Garcia,T-Mobile Park,R,Regular Season,True
