league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,706919,2022-04-05 15:05:00+00:00,Miami Marlins,St. Louis Cardinals,0.0,7.0,Elieser Hernández,Steven Matz,Roger Dean Chevrolet Stadium,S,Spring Training,True
MLB,706787,2022-04-05 16:05:00+00:00,Washington Nationals,New York Mets,14.0,0.0,Erick Fedde,Taijuan Walker,The Ballpark of the Palm Beaches,S,Spring Training,True
MLB,706862,2022-04-05 16:05:00+00:00,Philadelphia Phillies,Pittsburgh Pirates,5.0,1.0,Zach Eflin,Zach Thompson,BayCare Ballpark,S,Spring Training,True
MLB,706883,2022-04-05 17:05:00+00:00,New York Yankees,Detroit Tigers,3.0,5.0,Manny Banuelos,Matt Manning,George M. Steinbrenner Field,S,Spring Training,True
MLB,707010,2022-04-05 17:05:00+00:00,Boston Red Sox,Minnesota Twins,10.0,6.0,Michael Wacha,Josh Winder,JetBlue Park,S,Spring Training,True
MLB,707033,2022-04-05 17:05:00+00:00,Atlanta Braves,Tampa Bay Rays,1.0,0.0,Bryce Elder,Corey Kluber,CoolToday Park,S,Spring Training,True
MLB,706790,2022-04-05 17:07:00+00:00,Toronto Blue Jays,Baltimore Orioles,2.0,1.0,Alek Manoah,Tyler Wells,TD Ballpark,S,Spring Training,True
MLB,706805,2022-04-05 19:05:00+00:00,Texas Rangers,Chicago Cubs,11.0,5.0,Taylor Hearn,Michael Rucker,Surprise Stadium,S,Spring Training,True
MLB,706987,2022-04-05 19:05:00+00:00,Cincinnati Reds,Seattle Mariners,12.0,9.0,Hunter Greene,Chris Flexen,Goodyear Ballpark,S,Spring Training,True
MLB,706843,2022-04-05 19:10:00+00:00,San Diego Padres,Chicago White Sox,6.0,9.0,Blake Snell,Michael Kopech,Peoria Stadium,S,Spring Training,True
MLB,706908,2022-04-05 19:10:00+00:00,Milwaukee Brewers,Kansas City Royals,5.0,4.0,Adrian Houser,Carlos Hernández,American Family Fields of Phoenix,S,Spring Training,True
MLB,707044,2022-04-05 19:40:00+00:00,Arizona Diamondbacks,Cleveland Guardians,3.0,1.0,Zac Gallen,Aaron Civale,Chase Field,S,Spring Training,True
MLB,706834,2022-04-05 20:05:00+00:00,San Francisco Giants,Oakland Athletics,7.0,7.0,Alex Wood,Daulton Jefferies,Scottsdale Stadium,S,Spring Training,True
MLB,706966,2022-04-05 20:10:00+00:00,Colorado Rockies,Cleveland Guardians,10.0,3.0,Austin Gomber,Logan Allen,Salt River Fields at Talking Stick,S,Spring Training,True
MLB,706921,2022-04-06 01:10:00+00:00,Los Angeles Dodgers,Los Angeles Angels,5.0,0.0,Bobby Miller,Michael Lorenzen,Dodger Stadium,S,Spring Training,True
MLB,706810,2022-04-06 16:35:00+00:00,Tampa Bay Rays,Philadelphia Phillies,2.0,9.0,Luis Patiño,Ranger Suarez,Tropicana Field,S,Spring Training,True
MLB,663178,2022-04-07 18:20:00+00:00,Chicago Cubs,Milwaukee Brewers,5.0,4.0,Kyle Hendricks,Corbin Burnes,Wrigley Field,R,Regular Season,True
MLB,662766,2022-04-07 20:10:00+00:00,Kansas City Royals,Cleveland Guardians,3.0,1.0,Zack Greinke,Shane Bieber,Kauffman Stadium,R,Regular Season,True
MLB,662021,2022-04-07 20:15:00+00:00,St. Louis Cardinals,Pittsburgh Pirates,9.0,0.0,Adam Wainwright,JT Brubaker,Busch Stadium,R,Regular Season,True
MLB,662571,2022-04-07 23:05:00+00:00,Washington Nationals,New York Mets,1.0,5.0,Patrick Corbin,Tylor Megill,Nationals Park,R,Regular Season,True
MLB,661577,2022-04-08 00:08:00+00:00,Atlanta Braves,Cincinnati Reds,3.0,6.0,Max Fried,Tyler Mahle,Truist Park,R,Regular Season,True
MLB,661042,2022-04-08 01:38:00+00:00,Los Angeles Angels,Houston Astros,1.0,3.0,Shohei Ohtani,Framber Valdez,Angel Stadium,R,Regular Season,True
MLB,663418,2022-04-08 01:40:00+00:00,Arizona Diamondbacks,San Diego Padres,4.0,2.0,Madison Bumgarner,Yu Darvish,Chase Field,R,Regular Season,True
MLB,661333,2022-04-08 17:05:00+00:00,New York Yankees,Boston Red Sox,6.0,5.0,Gerrit Cole,Nathan Eovaldi,Yankee Stadium,R,Regular Season,True
MLB,662888,2022-04-08 17:10:00+00:00,Detroit Tigers,Chicago White Sox,5.0,4.0,Eduardo Rodriguez,Lucas Giolito,Comerica Park,R,Regular Season,True
MLB,661131,2022-04-08 19:05:00+00:00,Philadelphia Phillies,Oakland Athletics,9.0,5.0,Aaron Nola,Frankie Montas,Citizens Bank Park,R,Regular Season,True
MLB,661918,2022-04-08 19:10:00+00:00,Tampa Bay Rays,Baltimore Orioles,2.0,1.0,Shane McClanahan,John Means,Tropicana Field,R,Regular Season,True
MLB,661750,2022-04-08 20:10:00+00:00,Minnesota Twins,Seattle Mariners,1.0,2.0,Joe Ryan,Robbie Ray,Target Field,R,Regular Season,True
MLB,662933,2022-04-08 20:10:00+00:00,Colorado Rockies,Los Angeles Dodgers,3.0,5.0,Kyle Freeland,Walker Buehler,Coors Field,R,Regular Season,True
MLB,662124,2022-04-08 20:35:00+00:00,San Francisco Giants,Miami Marlins,6.0,5.0,Logan Webb,Sandy Alcantara,Oracle Park,R,Regular Season,True
MLB,662559,2022-04-08 23:05:00+00:00,Washington Nationals,New York Mets,3.0,7.0,Josiah Gray,Max Scherzer,Nationals Park,R,Regular Season,True
MLB,661782,2022-04-08 23:07:00+00:00,Toronto Blue Jays,Texas Rangers,10.0,8.0,José Berríos,Jon Gray,Rogers Centre,R,Regular Season,True
MLB,661576,2022-04-08 23:20:00+00:00,Atlanta Braves,Cincinnati Reds,7.0,6.0,Charlie Morton,Reiver Sanmartin,Truist Park,R,Regular Season,True
MLB,661041,2022-04-09 01:38:00+00:00,Los Angeles Angels,Houston Astros,6.0,13.0,Reid Detmers,Jake Odorizzi,Angel Stadium,R,Regular Season,True
MLB,663417,2022-04-09 01:40:00+00:00,Arizona Diamondbacks,San Diego Padres,0.0,3.0,Merrill Kelly,Sean Manaea,Chase Field,R,Regular Season,True
MLB,661917,2022-04-09 17:10:00+00:00,Tampa Bay Rays,Baltimore Orioles,5.0,3.0,Drew Rasmussen,Jordan Lyles,Tropicana Field,R,Regular Season,True
MLB,662864,2022-04-09 17:10:00+00:00,Detroit Tigers,Chicago White Sox,2.0,5.0,Casey Mize,Dylan Cease,Comerica Park,R,Regular Season,True
MLB,661756,2022-04-09 18:10:00+00:00,Minnesota Twins,Seattle Mariners,3.0,4.0,Sonny Gray,Logan Gilbert,Target Field,R,Regular Season,True
MLB,662020,2022-04-09 18:15:00+00:00,St. Louis Cardinals,Pittsburgh Pirates,6.0,2.0,Miles Mikolas,Mitch Keller,Busch Stadium,R,Regular Season,True
MLB,663205,2022-04-09 18:20:00+00:00,Chicago Cubs,Milwaukee Brewers,9.0,0.0,Justin Steele,Brandon Woodruff,Wrigley Field,R,Regular Season,True
MLB,661803,2022-04-09 19:07:00+00:00,Toronto Blue Jays,Texas Rangers,4.0,3.0,Kevin Gausman,Dane Dunning,Rogers Centre,R,Regular Season,True
MLB,661130,2022-04-09 20:05:00+00:00,Philadelphia Phillies,Oakland Athletics,4.0,2.0,Kyle Gibson,Cole Irvin,Citizens Bank Park,R,Regular Season,True
MLB,661332,2022-04-09 20:05:00+00:00,New York Yankees,Boston Red Sox,4.0,2.0,Luis Severino,Nick Pivetta,Yankee Stadium,R,Regular Season,True
MLB,662123,2022-04-09 20:05:00+00:00,San Francisco Giants,Miami Marlins,1.0,2.0,Carlos Rodón,Pablo López,Oracle Park,R,Regular Season,True
MLB,662765,2022-04-09 20:10:00+00:00,Kansas City Royals,Cleveland Guardians,1.0,0.0,Brad Keller,Zach Plesac,Kauffman Stadium,R,Regular Season,True
MLB,662588,2022-04-09 23:05:00+00:00,Washington Nationals,New York Mets,0.0,5.0,Joan Adon,Chris Bassitt,Nationals Park,R,Regular Season,True
MLB,661575,2022-04-09 23:20:00+00:00,Atlanta Braves,Cincinnati Reds,2.0,1.0,Kyle Wright,Vladimir Gutierrez,Truist Park,R,Regular Season,True
MLB,662931,2022-04-10 00:10:00+00:00,Colorado Rockies,Los Angeles Dodgers,3.0,2.0,Germán Márquez,Tony Gonsolin,Coors Field,R,Regular Season,True
MLB,663404,2022-04-10 00:10:00+00:00,Arizona Diamondbacks,San Diego Padres,2.0,5.0,Zach Davies,Joe Musgrove,Chase Field,R,Regular Season,True
MLB,661040,2022-04-10 01:07:00+00:00,Los Angeles Angels,Houston Astros,2.0,0.0,Noah Syndergaard,Justin Verlander,Angel Stadium,R,Regular Season,True
MLB,661129,2022-04-10 17:05:00+00:00,Philadelphia Phillies,Oakland Athletics,1.0,4.0,Zach Eflin,Daulton Jefferies,Citizens Bank Park,R,Regular Season,True
MLB,661916,2022-04-10 17:10:00+00:00,Tampa Bay Rays,Baltimore Orioles,8.0,0.0,Corey Kluber,Tyler Wells,Tropicana Field,R,Regular Season,True
MLB,662887,2022-04-10 17:10:00+00:00,Detroit Tigers,Chicago White Sox,1.0,10.0,Tarik Skubal,Michael Kopech,Comerica Park,R,Regular Season,True
MLB,661573,2022-04-10 17:35:00+00:00,Atlanta Braves,Cincinnati Reds,3.0,6.0,Ian Anderson,Hunter Greene,Truist Park,R,Regular Season,True
MLB,662570,2022-04-10 17:35:00+00:00,Washington Nationals,New York Mets,4.0,2.0,Erick Fedde,Carlos Carrasco,Nationals Park,R,Regular Season,True
MLB,661802,2022-04-10 17:37:00+00:00,Toronto Blue Jays,Texas Rangers,6.0,12.0,Hyun Jin Ryu,Spencer Howard,Rogers Centre,R,Regular Season,True
MLB,661738,2022-04-10 18:10:00+00:00,Minnesota Twins,Seattle Mariners,10.0,4.0,Bailey Ober,Marco Gonzales,Target Field,R,Regular Season,True
MLB,662755,2022-04-10 18:10:00+00:00,Kansas City Royals,Cleveland Guardians,3.0,17.0,Kris Bubic,Cal Quantrill,Kauffman Stadium,R,Regular Season,True
MLB,662019,2022-04-10 18:15:00+00:00,St. Louis Cardinals,Pittsburgh Pirates,4.0,9.0,Steven Matz,Bryse Wilson,Busch Stadium,R,Regular Season,True
MLB,663204,2022-04-10 18:20:00+00:00,Chicago Cubs,Milwaukee Brewers,4.0,5.0,Marcus Stroman,Freddy Peralta,Wrigley Field,R,Regular Season,True
MLB,662934,2022-04-10 19:10:00+00:00,Colorado Rockies,Los Angeles Dodgers,9.0,4.0,Antonio Senzatela,Julio Urías,Coors Field,R,Regular Season,True
MLB,662122,2022-04-10 20:05:00+00:00,San Francisco Giants,Miami Marlins,3.0,2.0,Anthony DeSclafani,Trevor Rogers,Oracle Park,R,Regular Season,True
MLB,661039,2022-04-10 20:07:00+00:00,Los Angeles Angels,Houston Astros,1.0,4.0,José Suarez,José Urquidy,Angel Stadium,R,Regular Season,True
MLB,663395,2022-04-10 20:10:00+00:00,Arizona Diamondbacks,San Diego Padres,5.0,10.0,Caleb Smith,Blake Snell,Chase Field,R,Regular Season,True
MLB,661316,2022-04-10 23:08:00+00:00,New York Yankees,Boston Red Sox,3.0,4.0,Jordan Montgomery,Tanner Houck,Yankee Stadium,R,Regular Season,True
MLB,662754,2022-04-11 18:10:00+00:00,Kansas City Royals,Cleveland Guardians,7.0,10.0,Carlos Hernández,Aaron Civale,Kauffman Stadium,R,Regular Season,True
MLB,663403,2022-04-11 19:05:00+00:00,Baltimore Orioles,Milwaukee Brewers,2.0,0.0,Bruce Zimmermann,Adrian Houser,Oriole Park at Camden Yards,R,Regular Season,True
MLB,662042,2022-04-11 20:05:00+00:00,Texas Rangers,Colorado Rockies,4.0,6.0,Taylor Hearn,Austin Gomber,Globe Life Field,R,Regular Season,True
MLB,662863,2022-04-11 21:10:00+00:00,Detroit Tigers,Boston Red Sox,3.0,1.0,Matt Manning,Michael Wacha,Comerica Park,R,Regular Season,True
MLB,661915,2022-04-11 22:40:00+00:00,Tampa Bay Rays,Oakland Athletics,2.0,13.0,Luis Patiño,Paul Blackburn,Tropicana Field,R,Regular Season,True
MLB,661637,2022-04-11 22:45:00+00:00,Philadelphia Phillies,New York Mets,5.0,4.0,Ranger Suarez,Taijuan Walker,Citizens Bank Park,R,Regular Season,True
MLB,661315,2022-04-11 23:05:00+00:00,New York Yankees,Toronto Blue Jays,0.0,3.0,Jameson Taillon,Alek Manoah,Yankee Stadium,R,Regular Season,True
MLB,661572,2022-04-11 23:20:00+00:00,Atlanta Braves,Washington Nationals,2.0,11.0,Huascar Ynoa,Josh Rogers,Truist Park,R,Regular Season,True
MLB,661754,2022-04-11 23:40:00+00:00,Minnesota Twins,Seattle Mariners,4.0,0.0,Dylan Bundy,Chris Flexen,Target Field,R,Regular Season,True
MLB,661036,2022-04-12 01:38:00+00:00,Los Angeles Angels,Miami Marlins,6.0,2.0,Michael Lorenzen,Elieser Hernández,Angel Stadium,R,Regular Season,True
