league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,719496,2023-02-24 18:05:00+00:00,Boston Red Sox,Northeastern Huskies,5.0,3.0,Oddanier Mosqueda,,JetBlue Park,E,Exhibition Game,False
MLB,718938,2023-02-24 20:05:00+00:00,Kansas City Royals,Texas Rangers,6.0,5.0,Daniel Lynch IV,Glenn Otto Jr.,Surprise Stadium,S,Spring Training,True
MLB,719395,2023-02-24 20:10:00+00:00,San Diego Padres,Seattle Mariners,2.0,3.0,Nick Martinez,Robbie Ray,Peoria Stadium,S,Spring Training,True
MLB,719386,2023-02-25 18:05:00+00:00,Philadelphia Phillies,New York Yankees,7.0,4.0,Nick Nelson,Ryan Weber,BayCare Ballpark,S,Spring Training,True
MLB,719388,2023-02-25 18:05:00+00:00,Pittsburgh Pirates,Toronto Blue Jays,7.0,9.0,Mitch Keller,Yusei Kikuchi,LECOM Park,S,Spring Training,True
MLB,719389,2023-02-25 18:05:00+00:00,St. Louis Cardinals,Washington Nationals,2.0,3.0,Adam Wainwright,MacKenzie Gore,Roger Dean Chevrolet Stadium,S,Spring Training,True
MLB,719391,2023-02-25 18:05:00+00:00,Houston Astros,New York Mets,4.0,2.0,Brandon Bielak,Denyi Reyes,The Ballpark of the Palm Beaches,S,Spring Training,True
MLB,719392,2023-02-25 18:05:00+00:00,Detroit Tigers,Philadelphia Phillies,4.0,2.0,Garrett Hill,Michael Plassmeyer,Publix Field at Joker Marchant Stadium,S,Spring Training,True
MLB,719393,2023-02-25 18:05:00+00:00,Baltimore Orioles,Minnesota Twins,10.0,5.0,Drew Rom,Louis Varland,Ed Smith Stadium,S,Spring Training,True
MLB,719394,2023-02-25 18:05:00+00:00,Minnesota Twins,Tampa Bay Rays,8.0,4.0,Kenta Maeda,Cooper Criswell,Hammond Stadium,S,Spring Training,True
MLB,719396,2023-02-25 18:05:00+00:00,Atlanta Braves,Boston Red Sox,6.0,6.0,Kolby Allard,Matt Dermody,CoolToday Park,S,Spring Training,True
MLB,719375,2023-02-25 20:05:00+00:00,Texas Rangers,Kansas City Royals,5.0,10.0,Nathan Eovaldi,Mike Mayers,Surprise Stadium,S,Spring Training,True
MLB,719380,2023-02-25 20:05:00+00:00,Chicago White Sox,San Diego Padres,2.0,6.0,Lance Lynn,Seth Lugo,Camelback Ranch,S,Spring Training,True
MLB,719381,2023-02-25 20:05:00+00:00,Cincinnati Reds,Cleveland Guardians,4.0,3.0,Brandon Williamson,Cal Quantrill,Goodyear Ballpark,S,Spring Training,True
MLB,719383,2023-02-25 20:05:00+00:00,Oakland Athletics,Arizona Diamondbacks,12.0,7.0,JP Sears,Drey Jameson,Hohokam Stadium,S,Spring Training,True
MLB,719385,2023-02-25 20:05:00+00:00,Chicago Cubs,San Francisco Giants,10.0,8.0,Marcus Stroman,Tristan Beck,Sloan Park,S,Spring Training,True
MLB,719382,2023-02-25 20:10:00+00:00,Milwaukee Brewers,Los Angeles Dodgers,7.0,4.0,Robert Stock,Michael Grove,American Family Fields of Phoenix,S,Spring Training,True
MLB,719384,2023-02-25 20:10:00+00:00,Seattle Mariners,Los Angeles Angels,1.0,5.0,Marco Gonzales,Tucker Davidson,Peoria Stadium,S,Spring Training,True
MLB,719390,2023-02-25 20:10:00+00:00,Arizona Diamondbacks,Colorado Rockies,5.0,12.0,Ryne Nelson,Noah Davis,Salt River Fields at Talking Stick,S,Spring Training,True
