league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,633365,2021-07-09 18:20:00+00:00,Chicago Cubs,St. Louis Cardinals,10.0,5.0,Kyle Hendricks,Wade LeBlanc,Wrigley Field,R,Regular Season,True
MLB,633377,2021-07-09 23:05:00+00:00,Baltimore Orioles,Chicago White Sox,1.0,12.0,Jorge López,Dallas Keuchel,Oriole Park at Camden Yards,R,Regular Season,True
MLB,633308,2021-07-09 23:10:00+00:00,New York Mets,Pittsburgh Pirates,13.0,4.0,Taijuan Walker,JT Brubaker,Citi Field,R,Regular Season,True
MLB,633336,2021-07-09 23:10:00+00:00,Miami Marlins,Atlanta Braves,0.0,5.0,Zach Thompson,Charlie Morton,loanDepot park,R,Regular Season,True
MLB,633338,2021-07-09 23:10:00+00:00,Tampa Bay Rays,Toronto Blue Jays,7.0,1.0,Shane McClanahan,Alek Manoah,Tropicana Field,R,Regular Season,True
MLB,633357,2021-07-09 23:10:00+00:00,Boston Red Sox,Philadelphia Phillies,11.0,5.0,Garrett Richards,Vince Velasquez,Fenway Park,R,Regular Season,True
MLB,633373,2021-07-09 23:10:00+00:00,Cleveland Indians,Kansas City Royals,2.0,1.0,Triston McKenzie,Brad Keller,Progressive Field,R,Regular Season,True
MLB,633345,2021-07-10 00:05:00+00:00,Texas Rangers,Oakland Athletics,3.0,2.0,Jordan Lyles,Cole Irvin,Globe Life Field,R,Regular Season,True
MLB,633348,2021-07-10 00:10:00+00:00,Houston Astros,New York Yankees,0.0,4.0,Jake Odorizzi,Nestor Cortes,Minute Maid Park,R,Regular Season,True
MLB,633366,2021-07-10 00:10:00+00:00,Minnesota Twins,Detroit Tigers,4.0,2.0,Kenta Maeda,Matt Manning,Target Field,R,Regular Season,True
MLB,633407,2021-07-10 00:10:00+00:00,Milwaukee Brewers,Cincinnati Reds,0.0,2.0,Eric Lauer,Wade Miley,American Family Field,R,Regular Season,True
MLB,633322,2021-07-10 01:45:00+00:00,San Francisco Giants,Washington Nationals,5.0,3.0,Logan Webb,Paolo Espino,Oracle Park,R,Regular Season,True
MLB,633320,2021-07-10 02:10:00+00:00,Los Angeles Dodgers,Arizona Diamondbacks,2.0,5.0,David Price,Taylor Widener,Dodger Stadium,R,Regular Season,True
MLB,633341,2021-07-10 02:10:00+00:00,Seattle Mariners,Los Angeles Angels,7.0,3.0,Marco Gonzales,Alex Cobb,T-Mobile Park,R,Regular Season,True
MLB,633367,2021-07-10 02:10:00+00:00,San Diego Padres,Colorado Rockies,4.0,2.0,Reiss Knehr,Kyle Freeland,Petco Park,R,Regular Season,True
MLB,633293,2021-07-10 17:10:00+00:00,Tampa Bay Rays,Toronto Blue Jays,5.0,2.0,Ryan Yarbrough,Ross Stripling,Tropicana Field,R,Regular Season,True
MLB,633289,2021-07-10 18:10:00+00:00,Minnesota Twins,Detroit Tigers,9.0,4.0,Bailey Ober,Kyle Funkhouser,Target Field,R,Regular Season,True
MLB,633294,2021-07-10 20:05:00+00:00,San Francisco Giants,Washington Nationals,10.0,4.0,Anthony DeSclafani,Jon Lester,Oracle Park,R,Regular Season,True
MLB,633316,2021-07-10 20:05:00+00:00,Texas Rangers,Oakland Athletics,4.0,8.0,Mike Foltynewicz,James Kaprielian,Globe Life Field,R,Regular Season,True
MLB,633350,2021-07-10 20:05:00+00:00,Baltimore Orioles,Chicago White Sox,3.0,8.0,Thomas Eshelman,Lucas Giolito,Oriole Park at Camden Yards,R,Regular Season,True
MLB,633295,2021-07-10 20:10:00+00:00,New York Mets,Pittsburgh Pirates,2.0,6.0,Marcus Stroman,Tyler Anderson,Citi Field,R,Regular Season,True
