league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,748266,2024-02-22 20:10:00+00:00,San Diego Padres,Los Angeles Dodgers,1.0,14.0,Joe Musgrove,Gavin Stone,Peoria Stadium,S,Spring Training,True
MLB,748344,2024-02-23 18:05:00+00:00,Boston Red Sox,Northeastern Huskies,7.0,2.0,Helcris Olivárez,Aiven Cabral,JetBlue Park,E,Exhibition Game,True
MLB,748263,2024-02-23 20:05:00+00:00,Texas Rangers,Kansas City Royals,5.0,4.0,Dane Dunning,Daniel Lynch IV,Surprise Stadium,S,Spring Training,True
MLB,748341,2024-02-23 20:05:00+00:00,Chicago Cubs,Chicago White Sox,8.0,1.0,Jordan Wicks,Jesse Chavez,Sloan Park,S,Spring Training,True
MLB,748260,2024-02-23 20:08:00+00:00,Los Angeles Dodgers,San Diego Padres,4.0,1.0,Landon Knack,Jhony Brito,Camelback Ranch,S,Spring Training,True
MLB,748264,2024-02-23 20:10:00+00:00,Colorado Rockies,Arizona Diamondbacks,3.0,0.0,Carson Palmquist,Tommy Henry,Salt River Fields at Talking Stick,S,Spring Training,True
MLB,748265,2024-02-23 23:05:00+00:00,Minnesota Twins,Minnesota Golden Gophers,13.0,2.0,Chris Paddack,Nick Argento,Lee Health Sports Complex,E,Exhibition Game,True
MLB,748254,2024-02-24 18:05:00+00:00,Detroit Tigers,New York Yankees,10.0,22.0,Reese Olson,Luis Gil,Publix Field at Joker Marchant Stadium,S,Spring Training,True
MLB,748255,2024-02-24 18:05:00+00:00,St. Louis Cardinals,Miami Marlins,8.0,9.0,Matthew Liberatore,Ryan Weathers,Roger Dean Chevrolet Stadium,S,Spring Training,True
MLB,748256,2024-02-24 18:05:00+00:00,Tampa Bay Rays,Atlanta Braves,5.0,6.0,Nathan Wiles,Spencer Strider,Charlotte Sports Park,S,Spring Training,True
MLB,748258,2024-02-24 18:05:00+00:00,Minnesota Twins,Pittsburgh Pirates,5.0,3.0,Louis Varland,Bailey Falter,Lee Health Sports Complex,S,Spring Training,True
MLB,748262,2024-02-24 18:05:00+00:00,Baltimore Orioles,Boston Red Sox,4.0,3.0,Corbin Burnes,Garrett Whitlock,Ed Smith Stadium,S,Spring Training,True
MLB,748257,2024-02-24 18:07:00+00:00,Toronto Blue Jays,Philadelphia Phillies,13.0,14.0,Chad Dallas,Kolby Allard,TD Ballpark,S,Spring Training,True
