league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,778053,2025-05-04 17:15:00+00:00,St. Louis Cardinals,New York Mets,6.0,5.0,Erick Fedde,Blade Tidwell,Busch Stadium,R,Regular Season,True
MLB,778051,2025-05-04 17:35:00+00:00,Pittsburgh Pirates,San Diego Padres,0.0,4.0,Andrew Heaney,Stephen Kolek,PNC Park,R,Regular Season,True
MLB,778057,2025-05-04 17:35:00+00:00,New York Yankees,Tampa Bay Rays,5.0,7.0,Will Warren,Taj Bradley,Yankee Stadium,R,Regular Season,True
MLB,778062,2025-05-04 17:35:00+00:00,Baltimore Orioles,Kansas City Royals,6.0,11.0,Kyle Gibson,Michael Lorenzen,Oriole Park at Camden Yards,R,Regular Season,True
MLB,778063,2025-05-04 17:35:00+00:00,Boston Red Sox,Minnesota Twins,4.0,5.0,Garrett Crochet,Chris Paddack,Fenway Park,R,Regular Season,True
MLB,778056,2025-05-04 17:37:00+00:00,Toronto Blue Jays,Cleveland Guardians,4.0,5.0,Bowden Francis,Tanner Bibee,Rogers Centre,R,Regular Season,True
MLB,778061,2025-05-04 17:40:00+00:00,Miami Marlins,Athletics,2.0,3.0,Edward Cabrera,JP Sears,loanDepot park,R,Regular Season,True
MLB,778059,2025-05-04 18:05:00+00:00,Philadelphia Phillies,Arizona Diamondbacks,9.0,11.0,Ranger Suarez,Eduardo Rodriguez,Citizens Bank Park,R,Regular Season,True
MLB,778054,2025-05-04 18:10:00+00:00,Milwaukee Brewers,Chicago Cubs,4.0,0.0,Freddy Peralta,Shota Imanaga,American Family Field,R,Regular Season,True
MLB,778055,2025-05-04 18:10:00+00:00,Chicago White Sox,Houston Astros,5.0,4.0,Bryse Wilson,Lance McCullers Jr.,Rate Field,R,Regular Season,True
MLB,778052,2025-05-04 18:35:00+00:00,Texas Rangers,Seattle Mariners,8.0,1.0,Jacob deGrom,Logan Evans,Globe Life Field,R,Regular Season,True
MLB,778048,2025-05-04 20:05:00+00:00,San Francisco Giants,Colorado Rockies,9.0,3.0,Logan Webb,Germán Márquez,Oracle Park,R,Regular Season,True
MLB,778050,2025-05-04 20:07:00+00:00,Los Angeles Angels,Detroit Tigers,1.0,13.0,Jack Kochanowicz,Reese Olson,Angel Stadium,R,Regular Season,True
MLB,778058,2025-05-04 20:10:00+00:00,Cincinnati Reds,Washington Nationals,1.0,4.0,Nick Martinez,MacKenzie Gore,Great American Ball Park,R,Regular Season,True
MLB,778068,2025-05-04 22:15:00+00:00,St. Louis Cardinals,New York Mets,5.0,4.0,Andre Pallante,Tylor Megill,Busch Stadium,R,Regular Season,True
MLB,778060,2025-05-04 23:10:00+00:00,Atlanta Braves,Los Angeles Dodgers,4.0,3.0,Bryce Elder,Dustin May,Truist Park,R,Regular Season,True
MLB,778047,2025-05-05 22:40:00+00:00,Miami Marlins,Los Angeles Dodgers,4.0,7.0,Sandy Alcantara,Jack Dreyer,loanDepot park,R,Regular Season,True
MLB,778045,2025-05-05 23:05:00+00:00,New York Yankees,San Diego Padres,3.0,4.0,Carlos Rodón,Nick Pivetta,Yankee Stadium,R,Regular Season,True
MLB,778049,2025-05-05 23:15:00+00:00,Atlanta Braves,Cincinnati Reds,4.0,0.0,AJ Smith-Shawver,Brady Singer,Truist Park,R,Regular Season,True
MLB,778042,2025-05-05 23:40:00+00:00,Milwaukee Brewers,Houston Astros,5.0,1.0,Tobias Myers,Ronel Blanco,American Family Field,R,Regular Season,True
MLB,778043,2025-05-05 23:40:00+00:00,Kansas City Royals,Chicago White Sox,3.0,0.0,Cole Ragans,Shane Smith,Kauffman Stadium,R,Regular Season,True
MLB,778044,2025-05-05 23:40:00+00:00,Chicago Cubs,San Francisco Giants,9.0,2.0,Matthew Boyd,Landen Roupp,Wrigley Field,R,Regular Season,True
MLB,778036,2025-05-05 23:45:00+00:00,St. Louis Cardinals,Pittsburgh Pirates,6.0,3.0,Miles Mikolas,Carmen Mlodzinski,Busch Stadium,R,Regular Season,True
MLB,778039,2025-05-06 01:40:00+00:00,Arizona Diamondbacks,New York Mets,4.0,5.0,Ryne Nelson,Griffin Canning,Chase Field,R,Regular Season,True
MLB,778038,2025-05-06 02:05:00+00:00,Athletics,Seattle Mariners,7.0,6.0,Luis Severino,Bryce Miller,Sutter Health Park,R,Regular Season,True
MLB,778026,2025-05-06 19:35:00+00:00,Washington Nationals,Cleveland Guardians,10.0,9.0,Jake Irvin,Luis Ortiz,Nationals Park,R,Regular Season,True
MLB,778046,2025-05-06 19:40:00+00:00,Washington Nationals,Cleveland Guardians,1.0,9.0,Brad Lord,Ben Lively,Nationals Park,R,Regular Season,True
MLB,778035,2025-05-06 22:40:00+00:00,Miami Marlins,Los Angeles Dodgers,5.0,4.0,Cal Quantrill,Tony Gonsolin,loanDepot park,R,Regular Season,True
MLB,778037,2025-05-06 22:45:00+00:00,Boston Red Sox,Texas Rangers,1.0,6.0,Lucas Giolito,Nathan Eovaldi,Fenway Park,R,Regular Season,True
MLB,778040,2025-05-06 23:05:00+00:00,Tampa Bay Rays,Philadelphia Phillies,4.0,8.0,Drew Rasmussen,Zack Wheeler,George M. Steinbrenner Field,R,Regular Season,True
MLB,778041,2025-05-06 23:05:00+00:00,New York Yankees,San Diego Padres,12.0,3.0,Clarke Schmidt,Michael King,Yankee Stadium,R,Regular Season,True
MLB,778034,2025-05-06 23:15:00+00:00,Atlanta Braves,Cincinnati Reds,2.0,1.0,Chris Sale,Andrew Abbott,Truist Park,R,Regular Season,True
MLB,778027,2025-05-06 23:40:00+00:00,Chicago Cubs,San Francisco Giants,5.0,14.0,Colin Rea,Justin Verlander,Wrigley Field,R,Regular Season,True
MLB,778028,2025-05-06 23:40:00+00:00,Minnesota Twins,Baltimore Orioles,9.0,1.0,Pablo López,Cade Povich,Target Field,R,Regular Season,True
MLB,778031,2025-05-06 23:40:00+00:00,Milwaukee Brewers,Houston Astros,4.0,3.0,Chad Patrick,Hayden Wesneski,American Family Field,R,Regular Season,True
MLB,778033,2025-05-06 23:40:00+00:00,Kansas City Royals,Chicago White Sox,4.0,3.0,Seth Lugo,Sean Burke,Kauffman Stadium,R,Regular Season,True
