league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,778869,2025-02-20 20:05:00+00:00,Los Angeles Dodgers,Chicago Cubs,4.0,12.0,Yoshinobu Yamamoto,Cody Poteet,Camelback Ranch,S,Spring Training,True
MLB,778780,2025-02-21 18:05:00+00:00,Boston Red Sox,Northeastern Huskies,5.0,2.0,Brian Van Belle,,JetBlue Park,E,Exhibition Game,False
MLB,779055,2025-02-21 18:05:00+00:00,New York Yankees,Tampa Bay Rays,4.0,0.0,Marcus Stroman,Joey Krehbiel,George M. Steinbrenner Field,S,Spring Training,True
MLB,778760,2025-02-21 20:05:00+00:00,Chicago Cubs,Los Angeles Dodgers,7.0,3.0,Jordan Wicks,Tony Gonsolin,Sloan Park,S,Spring Training,True
MLB,778949,2025-02-21 20:05:00+00:00,Kansas City Royals,Texas Rangers,5.0,2.0,Daniel Lynch IV,Nathan Eovaldi,Surprise Stadium,S,Spring Training,True
MLB,787940,2025-02-21 20:10:00+00:00,Arizona Diamondbacks,Colorado Rockies,8.0,12.0,Corbin Burnes,Bradley Blalock,Salt River Fields at Talking Stick,S,Spring Training,True
MLB,788017,2025-02-21 20:10:00+00:00,San Diego Padres,Seattle Mariners,5.0,2.0,Ryan Bergert,Jhonathan Díaz,Peoria Stadium,S,Spring Training,True
MLB,778740,2025-02-22 18:05:00+00:00,Houston Astros,Washington Nationals,3.0,6.0,Ryan Gusto,Jake Irvin,CACTI Park of the Palm Beaches,S,Spring Training,True
MLB,778880,2025-02-22 18:05:00+00:00,Minnesota Twins,Atlanta Braves,3.0,1.0,Zebby Matthews,Chris Sale,Lee Health Sports Complex,S,Spring Training,True
MLB,778977,2025-02-22 18:05:00+00:00,Tampa Bay Rays,Boston Red Sox,4.0,6.0,Jacob Waguespack,Quinn Priester,Charlotte Sports Park,S,Spring Training,True
MLB,779117,2025-02-22 18:05:00+00:00,Detroit Tigers,Philadelphia Phillies,7.0,6.0,Kenta Maeda,Nabil Crismatt,Publix Field at Joker Marchant Stadium,S,Spring Training,True
MLB,779135,2025-02-22 18:05:00+00:00,Baltimore Orioles,Pittsburgh Pirates,5.0,10.0,Albert Suárez,Carmen Mlodzinski,Ed Smith Stadium,S,Spring Training,True
MLB,778963,2025-02-22 18:07:00+00:00,Toronto Blue Jays,New York Yankees,6.0,4.0,Easton Lucas,Carlos Rodón,TD Ballpark,S,Spring Training,True
MLB,778898,2025-02-22 18:10:00+00:00,New York Mets,Houston Astros,6.0,2.0,Clay Holmes,Colton Gordon,Clover Park,S,Spring Training,True
MLB,779087,2025-02-22 18:10:00+00:00,Miami Marlins,St. Louis Cardinals,7.0,6.0,Valente Bellozo,Erick Fedde,Roger Dean Chevrolet Stadium,S,Spring Training,True
MLB,778757,2025-02-22 20:05:00+00:00,Chicago Cubs,Chicago White Sox,7.0,3.0,Justin Steele,Jared Shuster,Sloan Park,S,Spring Training,True
MLB,778840,2025-02-22 20:05:00+00:00,Cincinnati Reds,Cleveland Guardians,6.0,3.0,Hunter Greene,Triston McKenzie,Goodyear Ballpark,S,Spring Training,True
MLB,778867,2025-02-22 20:05:00+00:00,Los Angeles Dodgers,Kansas City Royals,10.0,11.0,Nick Frasso,Chandler Champlain,Camelback Ranch,S,Spring Training,True
MLB,778944,2025-02-22 20:05:00+00:00,Texas Rangers,San Francisco Giants,1.0,6.0,Tyler Mahle,Landen Roupp,Surprise Stadium,S,Spring Training,True
MLB,778808,2025-02-22 20:10:00+00:00,Colorado Rockies,Arizona Diamondbacks,9.0,3.0,Gabriel Hughes,José Castillo,Salt River Fields at Talking Stick,S,Spring Training,True
MLB,779026,2025-02-22 20:10:00+00:00,San Diego Padres,Athletics,10.0,3.0,Matt Waldron,J.T. Ginn,Peoria Stadium,S,Spring Training,True
MLB,779103,2025-02-22 20:10:00+00:00,Milwaukee Brewers,Cincinnati Reds,8.0,7.0,Carlos Rodriguez,Graham Ashcraft,American Family Fields of Phoenix,S,Spring Training,True
MLB,779162,2025-02-22 20:10:00+00:00,Los Angeles Angels,Seattle Mariners,11.0,10.0,Jack Kochanowicz,Logan Evans,Tempe Diablo Stadium,S,Spring Training,True
MLB,778705,2025-02-23 18:05:00+00:00,Atlanta Braves,Tampa Bay Rays,2.0,4.0,Ian Anderson,Joe Rock,CoolToday Park,S,Spring Training,True
MLB,778742,2025-02-23 18:05:00+00:00,Washington Nationals,New York Mets,11.0,6.0,Shinnosuke Ogasawara,Ty Adcock,CACTI Park of the Palm Beaches,S,Spring Training,True
MLB,778778,2025-02-23 18:05:00+00:00,Boston Red Sox,Toronto Blue Jays,7.0,8.0,Garrett Crochet,Yariel Rodríguez,JetBlue Park,S,Spring Training,True
MLB,778915,2025-02-23 18:05:00+00:00,Philadelphia Phillies,Baltimore Orioles,3.0,7.0,Tyler Phillips,Cade Povich,BayCare Ballpark,S,Spring Training,True
MLB,779039,2025-02-23 18:05:00+00:00,Pittsburgh Pirates,Minnesota Twins,5.0,1.0,Mitch Keller,David Festa,LECOM Park,S,Spring Training,True
MLB,779054,2025-02-23 18:05:00+00:00,New York Yankees,Detroit Tigers,0.0,4.0,Sean Boyle,Casey Mize,George M. Steinbrenner Field,S,Spring Training,True
MLB,779085,2025-02-23 18:05:00+00:00,St. Louis Cardinals,Houston Astros,6.0,11.0,Miles Mikolas,Spencer Arrighetti,Roger Dean Chevrolet Stadium,S,Spring Training,True
MLB,778897,2025-02-23 18:10:00+00:00,New York Mets,Miami Marlins,1.0,1.0,Max Kranick,Sandy Alcantara,Clover Park,S,Spring Training,True
MLB,778755,2025-02-23 20:05:00+00:00,Chicago Cubs,Texas Rangers,6.0,5.0,Colin Rea,Cody Bradford,Sloan Park,S,Spring Training,True
MLB,778842,2025-02-23 20:05:00+00:00,Cleveland Guardians,Los Angeles Angels,14.0,2.0,Ben Lively,Reid Detmers,Goodyear Ballpark,S,Spring Training,True
MLB,778864,2025-02-23 20:05:00+00:00,Los Angeles Dodgers,San Diego Padres,8.0,3.0,Dustin May,Braden Nett,Camelback Ranch,S,Spring Training,True
MLB,778941,2025-02-23 20:05:00+00:00,Kansas City Royals,Chicago White Sox,4.0,3.0,Kris Bubic,Tyler Gilbert,Surprise Stadium,S,Spring Training,True
MLB,778993,2025-02-23 20:05:00+00:00,San Francisco Giants,Cincinnati Reds,5.0,2.0,Logan Webb,Nick Martinez,Scottsdale Stadium,S,Spring Training,True
MLB,779143,2025-02-23 20:05:00+00:00,Athletics,Colorado Rockies,4.0,0.0,Jeffrey Springs,Jake Woodford,Hohokam Stadium,S,Spring Training,True
MLB,778807,2025-02-23 20:10:00+00:00,Colorado Rockies,Milwaukee Brewers,6.0,1.0,Kyle Freeland,Aaron Ashby,Salt River Fields at Talking Stick,S,Spring Training,True
MLB,779020,2025-02-23 20:10:00+00:00,Seattle Mariners,Arizona Diamondbacks,11.0,5.0,Emerson Hancock,Tommy Henry,Peoria Stadium,S,Spring Training,True
MLB,779082,2025-02-24 18:05:00+00:00,St. Louis Cardinals,New York Mets,7.0,4.0,Steven Matz,Blade Tidwell,Roger Dean Chevrolet Stadium,S,Spring Training,True
MLB,778837,2025-02-24 20:05:00+00:00,Cincinnati Reds,Los Angeles Dodgers,8.0,1.0,Brady Singer,Tyler Glasnow,Goodyear Ballpark,S,Spring Training,True
MLB,778865,2025-02-24 20:05:00+00:00,Chicago White Sox,Texas Rangers,3.0,11.0,Shane Smith,Jon Gray,Camelback Ranch,S,Spring Training,True
MLB,778943,2025-02-24 20:05:00+00:00,Kansas City Royals,Athletics,1.0,1.0,Cole Ragans,Osvaldo Bido,Surprise Stadium,S,Spring Training,True
MLB,778994,2025-02-24 20:05:00+00:00,San Francisco Giants,Colorado Rockies,2.0,2.0,Justin Verlander,Chase Dollander,Scottsdale Stadium,S,Spring Training,True
MLB,778806,2025-02-24 20:10:00+00:00,Arizona Diamondbacks,Cleveland Guardians,4.0,3.0,Zac Gallen,Joey Cantillo,Salt River Fields at Talking Stick,S,Spring Training,True
MLB,779019,2025-02-24 20:10:00+00:00,San Diego Padres,Chicago Cubs,5.0,10.0,Randy Vásquez,Matthew Boyd,Peoria Stadium,S,Spring Training,True
MLB,779104,2025-02-24 20:10:00+00:00,Milwaukee Brewers,Seattle Mariners,8.0,12.0,Chad Patrick,Logan Gilbert,American Family Fields of Phoenix,S,Spring Training,True
