league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,832033,2026-02-20 18:05:00+00:00,Boston Red Sox,Northeastern Huskies,18,3,Tyler Uberstine,Robbie O'Connor,JetBlue Park,E,Exhibition Game,True
MLB,832034,2026-02-20 18:05:00+00:00,Baltimore Orioles,New York Yankees,2,0,Trevor Rogers,Elmer Rodríguez,Ed Smith Stadium,S,Spring Training,True
MLB,831829,2026-02-20 20:05:00+00:00,Texas Rangers,Kansas City Royals,3,7,Nathan Eovaldi,Stephen Kolek,Surprise Stadium,S,Spring Training,True
MLB,832042,2026-02-20 20:05:00+00:00,Chicago Cubs,Chicago White Sox,1,8,Jameson Taillon,Jonathan Cannon,Sloan Park,S,Spring Training,True
MLB,831764,2026-02-20 20:10:00+00:00,Seattle Mariners,San Diego Padres,7,4,Dane Dunning,Jagger Haynes,Peoria Stadium,S,Spring Training,True
MLB,831959,2026-02-20 20:10:00+00:00,Colorado Rockies,Arizona Diamondbacks,2,3,Antonio Senzatela,Thomas Hatch,Salt River Fields at Talking Stick,S,Spring Training,True
MLB,832043,2026-02-20 23:05:00+00:00,Minnesota Twins,Minnesota Golden Gophers,10,3,Zebby Matthews,,Lee Health Sports Complex,E,Exhibition Game,False
MLB,831494,2026-02-21 18:05:00+00:00,St. Louis Cardinals,Washington Nationals,2,6,Matthew Liberatore,Shinnosuke Ogasawara,Roger Dean Chevrolet Stadium,S,Spring Training,True
MLB,831543,2026-02-21 18:05:00+00:00,Tampa Bay Rays,Atlanta Braves,1,5,TJ Nichols,Carlos Carrasco,Charlotte Sports Park,S,Spring Training,True
MLB,831544,2026-02-21 18:05:00+00:00,Baltimore Orioles,Pittsburgh Pirates,2,8,Dean Kremer,Wilber Dotel,Ed Smith Stadium,S,Spring Training,True
MLB,831598,2026-02-21 18:05:00+00:00,Washington Nationals,Houston Astros,2,1,Jake Eder,Colton Gordon,CACTI Park of the Palm Beaches,S,Spring Training,True
MLB,831654,2026-02-21 18:05:00+00:00,Minnesota Twins,Boston Red Sox,2,7,Eston Stull,Payton Tolle,Lee Health Sports Complex,S,Spring Training,True
MLB,831655,2026-02-21 18:05:00+00:00,New York Yankees,Detroit Tigers,20,3,Carlos Lagrange,Keider Montero,George M. Steinbrenner Field,S,Spring Training,True
MLB,831542,2026-02-21 18:07:00+00:00,Toronto Blue Jays,Philadelphia Phillies,3,0,Eric Lauer,Bryse Wilson,TD Ballpark,S,Spring Training,True
MLB,831497,2026-02-21 18:10:00+00:00,New York Mets,Miami Marlins,1,2,Brandon Waddell,Robby Snelling,Clover Park,S,Spring Training,True
MLB,831732,2026-02-21 20:05:00+00:00,Chicago Cubs,Texas Rangers,2,3,Matthew Boyd,Kumar Rocker,Sloan Park,S,Spring Training,True
MLB,831775,2026-02-21 20:05:00+00:00,Kansas City Royals,San Diego Padres,3,10,Ryan Bergert,Matt Waldron,Surprise Stadium,S,Spring Training,True
MLB,831900,2026-02-21 20:05:00+00:00,Cleveland Guardians,Cincinnati Reds,4,2,Logan Allen,Chase Burns,Goodyear Ballpark,S,Spring Training,True
MLB,831948,2026-02-21 20:05:00+00:00,Chicago White Sox,Athletics,11,2,Chris Murphy,Jack Perkins,Camelback Ranch,S,Spring Training,True
MLB,831750,2026-02-21 20:10:00+00:00,Seattle Mariners,San Francisco Giants,5,10,Emerson Hancock,Hayden Birdsong,Peoria Stadium,S,Spring Training,True
MLB,831872,2026-02-21 20:10:00+00:00,Arizona Diamondbacks,Colorado Rockies,6,11,Mitch Bratt,Valente Bellozo,Salt River Fields at Talking Stick,S,Spring Training,True
MLB,831878,2026-02-21 20:10:00+00:00,Milwaukee Brewers,Cleveland Guardians,6,9,Garrett Stallings,Joey Cantillo,American Family Fields of Phoenix,S,Spring Training,True
