league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,747816,2024-03-25 16:05:00+00:00,Philadelphia Phillies,Tampa Bay Rays,3.0,6.0,David Buchanan,Jacob Waguespack,BayCare Ballpark,S,Spring Training,True
MLB,747813,2024-03-25 17:05:00+00:00,Atlanta Braves,Minnesota Twins,4.0,0.0,Chris Sale,Bailey Ober,CoolToday Park,S,Spring Training,True
MLB,747815,2024-03-25 17:05:00+00:00,Pittsburgh Pirates,Toronto Blue Jays,4.0,3.0,Marco Gonzales,Kevin Gausman,LECOM Park,S,Spring Training,True
MLB,748868,2024-03-25 17:05:00+00:00,New York Yankees,New York Mets,3.0,0.0,Clarke Schmidt,Sean Manaea,George M. Steinbrenner Field,S,Spring Training,True
MLB,748338,2024-03-25 20:05:00+00:00,Chicago Cubs,St. Louis Cardinals,3.0,6.0,Jordan Wicks,Steven Matz,Sloan Park,S,Spring Training,True
MLB,747810,2024-03-25 20:10:00+00:00,Milwaukee Brewers,Colorado Rockies,10.0,1.0,Colin Rea,Dakota Hudson,American Family Fields of Phoenix,S,Spring Training,True
MLB,764494,2024-03-25 23:05:00+00:00,Northwest Arkansas Naturals,Kansas City Royals,1.0,7.0,,Brady Singer,Arvest Ballpark,E,Exhibition Game,False
MLB,766494,2024-03-26 00:00:00+00:00,Diablos Rojos del Mexico,New York Yankees,8.0,5.0,,Luis Serna,Estadio Alfredo Harp Helu,E,Exhibition,False
MLB,747812,2024-03-26 00:05:00+00:00,Texas Rangers,Boston Red Sox,2.0,9.0,,Garrett Whitlock,Globe Life Field,S,Spring Training,False
MLB,747814,2024-03-26 00:10:00+00:00,Houston Astros,Sugar Land Space Cowboys,1.0,3.0,Misael Tamarez,Rhett Kouba,Minute Maid Park,E,Exhibition Game,True
MLB,747811,2024-03-26 01:10:00+00:00,Los Angeles Dodgers,Los Angeles Angels,0.0,6.0,Gavin Stone,Reid Detmers,Dodger Stadium,S,Spring Training,True
MLB,747807,2024-03-26 01:40:00+00:00,Oakland Athletics,San Francisco Giants,1.0,4.0,JP Sears,Jordan Hicks,Oakland Coliseum,S,Spring Training,True
MLB,747808,2024-03-26 01:40:00+00:00,San Diego Padres,Seattle Mariners,1.0,4.0,Dylan Cease,Bryce Miller,Petco Park,S,Spring Training,True
MLB,747809,2024-03-26 01:40:00+00:00,Arizona Diamondbacks,Cleveland Guardians,6.0,0.0,Tommy Henry,Tyler Beede,Chase Field,S,Spring Training,True
MLB,761424,2024-03-26 16:05:00+00:00,Washington Nationals,Washington Nationals Prospects,13.0,1.0,MacKenzie Gore,Jackson Rutledge,Nationals Park,E,Exhibition Game,True
MLB,747806,2024-03-26 16:35:00+00:00,Tampa Bay Rays,Detroit Tigers,3.0,3.0,Ryan Pepiot,Casey Mize,Tropicana Field,S,Spring Training,True
MLB,747804,2024-03-26 17:05:00+00:00,Minnesota Twins,Atlanta Braves,9.0,6.0,Louis Varland,Samuel Strickland,Lee Health Sports Complex,S,Spring Training,True
MLB,747802,2024-03-26 18:05:00+00:00,Texas Rangers,Boston Red Sox,1.0,4.0,Dane Dunning,Richard Fitts,Globe Life Field,S,Spring Training,True
MLB,748339,2024-03-26 19:05:00+00:00,Chicago Cubs,St. Louis Cardinals,2.0,7.0,Shota Imanaga,Kyle Gibson,Sloan Park,S,Spring Training,True
MLB,747798,2024-03-26 19:10:00+00:00,Colorado Rockies,Milwaukee Brewers,6.0,1.0,Ryan Feltner,Aaron Ashby,Salt River Fields at Talking Stick,S,Spring Training,True
MLB,747803,2024-03-26 19:40:00+00:00,Arizona Diamondbacks,Cleveland Guardians,6.0,1.0,Brandon Pfaadt,Triston McKenzie,Chase Field,S,Spring Training,True
MLB,747799,2024-03-26 20:10:00+00:00,San Diego Padres,Seattle Mariners,6.0,7.0,Michael King,Casey Lawrence,Petco Park,S,Spring Training,True
MLB,747800,2024-03-27 00:05:00+00:00,San Francisco Giants,Oakland Athletics,1.0,3.0,Spencer Howard,Paul Blackburn,Oracle Park,S,Spring Training,True
MLB,747805,2024-03-27 00:10:00+00:00,Houston Astros,Sugar Land Space Cowboys,7.0,3.0,Ronel Blanco,J.P. France,Minute Maid Park,E,Exhibition Game,True
MLB,747801,2024-03-27 01:07:00+00:00,Los Angeles Angels,Los Angeles Dodgers,4.0,3.0,Chase Silseth,James Paxton,Angel Stadium,S,Spring Training,True
MLB,747060,2024-03-28 19:05:00+00:00,Baltimore Orioles,Los Angeles Angels,11.0,3.0,Corbin Burnes,Patrick Sandoval,Oriole Park at Camden Yards,R,Regular Season,True
MLB,745116,2024-03-28 20:10:00+00:00,Tampa Bay Rays,Toronto Blue Jays,2.0,8.0,Zach Eflin,José Berríos,Tropicana Field,R,Regular Season,True
MLB,745445,2024-03-28 20:10:00+00:00,San Diego Padres,San Francisco Giants,6.0,4.0,Yu Darvish,Logan Webb,Petco Park,R,Regular Season,True
MLB,746089,2024-03-28 20:10:00+00:00,Miami Marlins,Pittsburgh Pirates,5.0,6.0,Jesús Luzardo,Mitch Keller,loanDepot park,R,Regular Season,True
