league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,716417,2023-09-27 18:10:00+00:00,Chicago White Sox,Arizona Diamondbacks,0.0,3.0,Luis Patiño,Brandon Pfaadt,Guaranteed Rate Field,R,Regular Season,True
MLB,716411,2023-09-27 20:10:00+00:00,New York Mets,Miami Marlins,11.0,2.0,Joey Lucchesi,Braxton Garrett,Citi Field,R,Regular Season,True
MLB,716430,2023-09-27 20:15:00+00:00,New York Mets,Miami Marlins,2.0,4.0,Kodai Senga,Johnny Cueto,Citi Field,R,Regular Season,True
MLB,716418,2023-09-27 22:10:00+00:00,Cleveland Guardians,Cincinnati Reds,4.0,3.0,Shane Bieber,Andrew Abbott,Progressive Field,R,Regular Season,True
MLB,716419,2023-09-27 22:10:00+00:00,Boston Red Sox,Tampa Bay Rays,0.0,5.0,Brayan Bello,Tyler Glasnow,Fenway Park,R,Regular Season,True
MLB,716416,2023-09-27 22:35:00+00:00,Baltimore Orioles,Washington Nationals,5.0,1.0,Grayson Rodriguez,Patrick Corbin,Oriole Park at Camden Yards,R,Regular Season,True
MLB,716415,2023-09-27 22:40:00+00:00,Philadelphia Phillies,Pittsburgh Pirates,7.0,6.0,Ranger Suarez,Johan Oviedo,Citizens Bank Park,R,Regular Season,True
MLB,716413,2023-09-27 23:07:00+00:00,Toronto Blue Jays,New York Yankees,0.0,6.0,José Berríos,Gerrit Cole,Rogers Centre,R,Regular Season,True
MLB,716412,2023-09-27 23:20:00+00:00,Atlanta Braves,Chicago Cubs,6.0,5.0,Darius Vines,Jameson Taillon,Truist Park,R,Regular Season,True
MLB,716408,2023-09-27 23:40:00+00:00,Milwaukee Brewers,St. Louis Cardinals,3.0,2.0,Wade Miley,Zack Thompson,American Family Field,R,Regular Season,True
MLB,716410,2023-09-27 23:40:00+00:00,Minnesota Twins,Oakland Athletics,6.0,4.0,Pablo López,Joey Estes,Target Field,R,Regular Season,True
MLB,716406,2023-09-28 00:40:00+00:00,Colorado Rockies,Los Angeles Dodgers,2.0,8.0,Noah Davis,Emmet Sheehan,Coors Field,R,Regular Season,True
MLB,716420,2023-09-28 01:38:00+00:00,Los Angeles Angels,Texas Rangers,0.0,5.0,Griffin Canning,Dane Dunning,Angel Stadium,R,Regular Season,True
