league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,632201,2021-04-10 17:10:00+00:00,New York Mets,Miami Marlins,0.0,3.0,Jacob deGrom,Trevor Rogers,Citi Field,R,Regular Season,True
MLB,632217,2021-04-10 17:10:00+00:00,Tampa Bay Rays,New York Yankees,4.0,0.0,Chris Archer,Domingo Germán,Tropicana Field,R,Regular Season,True
MLB,632205,2021-04-10 18:10:00+00:00,Minnesota Twins,Seattle Mariners,3.0,4.0,Michael Pineda,Yusei Kikuchi,Target Field,R,Regular Season,True
MLB,632222,2021-04-10 18:15:00+00:00,St. Louis Cardinals,Milwaukee Brewers,5.0,9.0,Carlos Martinez,Adrian Houser,Busch Stadium,R,Regular Season,True
MLB,632169,2021-04-10 20:05:00+00:00,San Francisco Giants,Colorado Rockies,4.0,3.0,Logan Webb,Chi Chi González,Oracle Park,R,Regular Season,True
MLB,632202,2021-04-10 20:05:00+00:00,Houston Astros,Oakland Athletics,3.0,7.0,José Urquidy,Frankie Montas,Minute Maid Park,R,Regular Season,True
MLB,632218,2021-04-10 22:10:00+00:00,Cleveland Indians,Detroit Tigers,11.0,3.0,Aaron Civale,Tarik Skubal,Progressive Field,R,Regular Season,True
MLB,632195,2021-04-10 22:35:00+00:00,Pittsburgh Pirates,Chicago Cubs,8.0,2.0,Mitch Keller,Zach Davies,PNC Park,R,Regular Season,True
MLB,632193,2021-04-10 23:05:00+00:00,Texas Rangers,San Diego Padres,4.0,7.0,Jordan Lyles,Chris Paddack,Globe Life Field,R,Regular Season,True
MLB,634491,2021-04-10 23:05:00+00:00,Baltimore Orioles,Boston Red Sox,4.0,6.0,Bruce Zimmermann,Garrett Richards,Oriole Park at Camden Yards,R,Regular Season,True
MLB,632227,2021-04-10 23:07:00+00:00,Toronto Blue Jays,Los Angeles Angels,15.0,1.0,Steven Matz,Jose Quintana,TD Ballpark,R,Regular Season,True
MLB,634524,2021-04-10 23:20:00+00:00,Atlanta Braves,Philadelphia Phillies,5.0,4.0,Ian Anderson,Zach Eflin,Truist Park,R,Regular Season,True
MLB,634484,2021-04-11 00:10:00+00:00,Arizona Diamondbacks,Cincinnati Reds,8.0,3.0,Riley Smith,Jeff Hoffman,Chase Field,R,Regular Season,True
MLB,632191,2021-04-11 01:10:00+00:00,Los Angeles Dodgers,Washington Nationals,9.0,5.0,Julio Urías,Patrick Corbin,Dodger Stadium,R,Regular Season,True
MLB,632200,2021-04-11 17:05:00+00:00,Baltimore Orioles,Boston Red Sox,9.0,14.0,Jorge López,Nick Pivetta,Oriole Park at Camden Yards,R,Regular Season,True
MLB,632225,2021-04-11 17:05:00+00:00,Pittsburgh Pirates,Chicago Cubs,7.0,1.0,JT Brubaker,Trevor Williams,PNC Park,R,Regular Season,True
MLB,632192,2021-04-11 17:10:00+00:00,New York Mets,Miami Marlins,6.0,5.0,Taijuan Walker,Elieser Hernández,Citi Field,R,Regular Season,True
MLB,632228,2021-04-11 17:10:00+00:00,Cleveland Indians,Detroit Tigers,5.0,2.0,Logan Allen,José Ureña,Progressive Field,R,Regular Season,True
MLB,632232,2021-04-11 17:10:00+00:00,Tampa Bay Rays,New York Yankees,4.0,8.0,Brent Honeywell,Jordan Montgomery,Tropicana Field,R,Regular Season,True
MLB,632170,2021-04-11 18:10:00+00:00,Chicago White Sox,Kansas City Royals,3.0,4.0,Dylan Cease,Mike Minor,Guaranteed Rate Field,R,Regular Season,True
MLB,632215,2021-04-11 18:10:00+00:00,Minnesota Twins,Seattle Mariners,6.0,8.0,Matt Shoemaker,Chris Flexen,Target Field,R,Regular Season,True
MLB,632196,2021-04-11 18:15:00+00:00,St. Louis Cardinals,Milwaukee Brewers,3.0,9.0,Daniel Ponce de Leon,Brett Anderson,Busch Stadium,R,Regular Season,True
MLB,632233,2021-04-11 18:35:00+00:00,Texas Rangers,San Diego Padres,0.0,2.0,Mike Foltynewicz,Adrian Morejon,Globe Life Field,R,Regular Season,True
MLB,632188,2021-04-11 20:05:00+00:00,San Francisco Giants,Colorado Rockies,4.0,0.0,Anthony DeSclafani,Germán Márquez,Oracle Park,R,Regular Season,True
MLB,632209,2021-04-11 20:10:00+00:00,Arizona Diamondbacks,Cincinnati Reds,7.0,0.0,Luke Weaver,José De León,Chase Field,R,Regular Season,True
MLB,632214,2021-04-11 20:10:00+00:00,Los Angeles Dodgers,Washington Nationals,3.0,0.0,Clayton Kershaw,Max Scherzer,Dodger Stadium,R,Regular Season,True
MLB,632207,2021-04-11 23:08:00+00:00,Atlanta Braves,Philadelphia Phillies,6.0,7.0,Drew Smyly,Matt Moore,Truist Park,R,Regular Season,True
MLB,632198,2021-04-12 22:35:00+00:00,Pittsburgh Pirates,San Diego Padres,2.0,6.0,Trevor Cahill,Yu Darvish,PNC Park,R,Regular Season,True
MLB,632203,2021-04-12 23:07:00+00:00,Toronto Blue Jays,New York Yankees,1.0,3.0,Robbie Ray,Gerrit Cole,TD Ballpark,R,Regular Season,True
