league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,745566,2024-06-23 15:35:00+00:00,Philadelphia Phillies,Arizona Diamondbacks,4.0,1.0,Cristopher Sánchez,Slade Cecconi,Citizens Bank Park,R,Regular Season,True
MLB,745485,2024-06-23 17:35:00+00:00,Pittsburgh Pirates,Tampa Bay Rays,1.0,3.0,Paul Skenes,Aaron Civale,PNC Park,R,Regular Season,True
MLB,745727,2024-06-23 17:35:00+00:00,New York Yankees,Atlanta Braves,1.0,3.0,Nestor Cortes,Max Fried,Yankee Stadium,R,Regular Season,True
MLB,746051,2024-06-23 17:40:00+00:00,Miami Marlins,Seattle Mariners,6.0,4.0,Kyle Tyler,Bryce Miller,loanDepot park,R,Regular Season,True
MLB,746457,2024-06-23 17:40:00+00:00,Detroit Tigers,Chicago White Sox,11.0,2.0,Reese Olson,Jonathan Cannon,Comerica Park,R,Regular Season,True
MLB,746621,2024-06-23 17:40:00+00:00,Cleveland Guardians,Toronto Blue Jays,6.0,5.0,Triston McKenzie,Yusei Kikuchi,Progressive Field,R,Regular Season,True
MLB,746699,2024-06-23 17:40:00+00:00,Cincinnati Reds,Boston Red Sox,4.0,7.0,Nick Lodolo,Zack Kelly,Great American Ball Park,R,Regular Season,True
MLB,746373,2024-06-23 18:10:00+00:00,Houston Astros,Baltimore Orioles,8.0,1.0,Framber Valdez,Albert Suárez,Minute Maid Park,R,Regular Season,True
MLB,745165,2024-06-23 18:15:00+00:00,St. Louis Cardinals,San Francisco Giants,5.0,3.0,Sonny Gray,Logan Webb,Busch Stadium,R,Regular Season,True
MLB,745000,2024-06-23 18:35:00+00:00,Texas Rangers,Kansas City Royals,4.0,0.0,Max Scherzer,Alec Marsh,Globe Life Field,R,Regular Season,True
MLB,746536,2024-06-23 19:10:00+00:00,Colorado Rockies,Washington Nationals,1.0,2.0,Kyle Freeland,Jake Irvin,Coors Field,R,Regular Season,True
MLB,745648,2024-06-23 20:07:00+00:00,Oakland Athletics,Minnesota Twins,0.0,3.0,Hogan Harris,Pablo López,Oakland Coliseum,R,Regular Season,True
MLB,745396,2024-06-23 20:10:00+00:00,San Diego Padres,Milwaukee Brewers,2.0,6.0,Michael King,Tobias Myers,Petco Park,R,Regular Season,True
MLB,746862,2024-06-23 23:10:00+00:00,Chicago Cubs,New York Mets,2.0,5.0,Javier Assad,Luis Severino,Wrigley Field,R,Regular Season,True
MLB,747021,2024-06-24 22:35:00+00:00,Baltimore Orioles,Cleveland Guardians,2.0,3.0,Cade Povich,Tanner Bibee,Oriole Park at Camden Yards,R,Regular Season,True
MLB,746458,2024-06-24 22:40:00+00:00,Detroit Tigers,Philadelphia Phillies,1.0,8.0,Casey Mize,Aaron Nola,Comerica Park,R,Regular Season,True
MLB,745078,2024-06-24 22:50:00+00:00,Tampa Bay Rays,Seattle Mariners,4.0,3.0,Taj Bradley,Bryan Woo,Tropicana Field,R,Regular Season,True
MLB,746696,2024-06-24 23:10:00+00:00,Cincinnati Reds,Pittsburgh Pirates,11.0,5.0,Carson Spiers,Bailey Falter,Great American Ball Park,R,Regular Season,True
MLB,746941,2024-06-24 23:10:00+00:00,Boston Red Sox,Toronto Blue Jays,7.0,6.0,Tanner Houck,Chris Bassitt,Fenway Park,R,Regular Season,True
MLB,745160,2024-06-24 23:45:00+00:00,St. Louis Cardinals,Atlanta Braves,4.0,3.0,Lance Lynn,Spencer Schwellenbach,Busch Stadium,R,Regular Season,True
MLB,745974,2024-06-25 00:10:00+00:00,Milwaukee Brewers,Texas Rangers,6.0,3.0,Freddy Peralta,Michael Lorenzen,American Family Field,R,Regular Season,True
MLB,746298,2024-06-25 00:10:00+00:00,Kansas City Royals,Miami Marlins,4.0,1.0,Cole Ragans,Roddery Muñoz,Kauffman Stadium,R,Regular Season,True
MLB,746780,2024-06-25 00:10:00+00:00,Chicago White Sox,Los Angeles Dodgers,0.0,3.0,Garrett Crochet,James Paxton,Guaranteed Rate Field,R,Regular Season,True
MLB,746218,2024-06-25 01:38:00+00:00,Los Angeles Angels,Oakland Athletics,5.0,1.0,Griffin Canning,Luis Medina,Angel Stadium,R,Regular Season,True
MLB,745397,2024-06-25 01:40:00+00:00,San Diego Padres,Washington Nationals,7.0,6.0,Matt Waldron,Patrick Corbin,Petco Park,R,Regular Season,True
MLB,745323,2024-06-25 01:45:00+00:00,San Francisco Giants,Chicago Cubs,5.0,4.0,Erik Miller,Justin Steele,Oracle Park,R,Regular Season,True
MLB,747022,2024-06-25 22:35:00+00:00,Baltimore Orioles,Cleveland Guardians,8.0,10.0,Cole Irvin,Logan Allen,Oriole Park at Camden Yards,R,Regular Season,True
MLB,746454,2024-06-25 22:40:00+00:00,Detroit Tigers,Philadelphia Phillies,4.0,1.0,Tarik Skubal,Ranger Suarez,Comerica Park,R,Regular Season,True
MLB,745076,2024-06-25 22:50:00+00:00,Tampa Bay Rays,Seattle Mariners,11.0,3.0,Zack Littell,Luis Castillo,Tropicana Field,R,Regular Season,True
MLB,745806,2024-06-25 23:10:00+00:00,New York Mets,New York Yankees,9.0,7.0,David Peterson,Gerrit Cole,Citi Field,R,Regular Season,True
MLB,746697,2024-06-25 23:10:00+00:00,Cincinnati Reds,Pittsburgh Pirates,5.0,9.0,Hunter Greene,Mitch Keller,Great American Ball Park,R,Regular Season,True
MLB,746943,2024-06-25 23:10:00+00:00,Boston Red Sox,Toronto Blue Jays,4.0,9.0,Brayan Bello,Kevin Gausman,Fenway Park,R,Regular Season,True
MLB,745973,2024-06-26 00:10:00+00:00,Milwaukee Brewers,Texas Rangers,3.0,1.0,Hoby Milner,Andrew Heaney,American Family Field,R,Regular Season,True
MLB,746293,2024-06-26 00:10:00+00:00,Kansas City Royals,Miami Marlins,1.0,2.0,Seth Lugo,Yonny Chirinos,Kauffman Stadium,R,Regular Season,True
MLB,746372,2024-06-26 00:10:00+00:00,Houston Astros,Colorado Rockies,5.0,2.0,Hunter Brown,Austin Gomber,Minute Maid Park,R,Regular Season,True
MLB,746775,2024-06-26 00:10:00+00:00,Chicago White Sox,Los Angeles Dodgers,3.0,4.0,Chris Flexen,Bobby Miller,Guaranteed Rate Field,R,Regular Season,True
MLB,746213,2024-06-26 01:38:00+00:00,Los Angeles Angels,Oakland Athletics,7.0,5.0,Tyler Anderson,Mitch Spence,Angel Stadium,R,Regular Season,True
MLB,745399,2024-06-26 01:40:00+00:00,San Diego Padres,Washington Nationals,9.0,7.0,Adam Mazur,MacKenzie Gore,Petco Park,R,Regular Season,True
MLB,747188,2024-06-26 01:40:00+00:00,Arizona Diamondbacks,Minnesota Twins,5.0,4.0,Brandon Pfaadt,Joe Ryan,Chase Field,R,Regular Season,True
MLB,745322,2024-06-26 01:45:00+00:00,San Francisco Giants,Chicago Cubs,5.0,1.0,Randy Rodríguez,Kyle Hendricks,Oracle Park,R,Regular Season,True
MLB,745073,2024-06-26 16:10:00+00:00,Tampa Bay Rays,Seattle Mariners,2.0,5.0,Ryan Pepiot,George Kirby,Tropicana Field,R,Regular Season,True
MLB,746456,2024-06-26 17:10:00+00:00,Detroit Tigers,Philadelphia Phillies,2.0,6.0,Tyler Holton,Spencer Turnbull,Comerica Park,R,Regular Season,True
MLB,746695,2024-06-26 17:10:00+00:00,Cincinnati Reds,Pittsburgh Pirates,1.0,6.0,Graham Ashcraft,Luis Ortiz,Great American Ball Park,R,Regular Season,True
MLB,745157,2024-06-26 17:45:00+00:00,St. Louis Cardinals,Atlanta Braves,2.0,6.0,Kyle Gibson,Reynaldo López,Busch Stadium,R,Regular Season,True
