league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,718167,2023-05-15 20:05:00+00:00,Washington Nationals,New York Mets,10.0,3.0,Patrick Corbin,David Peterson,Nationals Park,R,Regular Season,True
MLB,718171,2023-05-15 22:35:00+00:00,Baltimore Orioles,Los Angeles Angels,5.0,9.0,Grayson Rodriguez,Shohei Ohtani,Oriole Park at Camden Yards,R,Regular Season,True
MLB,718164,2023-05-15 23:07:00+00:00,Toronto Blue Jays,New York Yankees,4.0,7.0,Alek Manoah,Jimmy Cordero,Rogers Centre,R,Regular Season,True
MLB,718163,2023-05-15 23:10:00+00:00,Boston Red Sox,Seattle Mariners,1.0,10.0,Tanner Houck,George Kirby,Fenway Park,R,Regular Season,True
MLB,718166,2023-05-15 23:45:00+00:00,St. Louis Cardinals,Milwaukee Brewers,18.0,1.0,Jack Flaherty,Freddy Peralta,Busch Stadium,R,Regular Season,True
MLB,718165,2023-05-16 00:05:00+00:00,Texas Rangers,Atlanta Braves,0.0,12.0,Cody Bradford,Charlie Morton,Globe Life Field,R,Regular Season,True
MLB,718158,2023-05-16 00:10:00+00:00,Houston Astros,Chicago Cubs,6.0,4.0,Framber Valdez,Jameson Taillon,Minute Maid Park,R,Regular Season,True
MLB,718161,2023-05-16 00:40:00+00:00,Colorado Rockies,Cincinnati Reds,9.0,8.0,Connor Seabold,Hunter Greene,Coors Field,R,Regular Season,True
MLB,718160,2023-05-16 01:40:00+00:00,Oakland Athletics,Arizona Diamondbacks,2.0,5.0,Drew Rucinski,Merrill Kelly,Oakland Coliseum,R,Regular Season,True
MLB,718162,2023-05-16 01:40:00+00:00,San Diego Padres,Kansas City Royals,4.0,0.0,Michael Wacha,Brad Keller,Petco Park,R,Regular Season,True
MLB,718170,2023-05-16 01:45:00+00:00,San Francisco Giants,Philadelphia Phillies,6.0,3.0,Alex Wood,Connor Brogdon,Oracle Park,R,Regular Season,True
MLB,718159,2023-05-16 02:10:00+00:00,Los Angeles Dodgers,Minnesota Twins,9.0,8.0,Noah Syndergaard,Pablo López,Dodger Stadium,R,Regular Season,True
MLB,718154,2023-05-16 22:35:00+00:00,Baltimore Orioles,Los Angeles Angels,7.0,3.0,Dean Kremer,Chase Silseth,Oriole Park at Camden Yards,R,Regular Season,True
MLB,718153,2023-05-16 22:40:00+00:00,Miami Marlins,Washington Nationals,5.0,4.0,Jesús Luzardo,Josiah Gray,loanDepot park,R,Regular Season,True
MLB,718155,2023-05-16 22:40:00+00:00,Detroit Tigers,Pittsburgh Pirates,4.0,0.0,Michael Lorenzen,Luis Ortiz,Comerica Park,R,Regular Season,True
MLB,718157,2023-05-16 23:07:00+00:00,Toronto Blue Jays,New York Yankees,3.0,6.0,Kevin Gausman,Domingo Germán,Rogers Centre,R,Regular Season,True
MLB,718149,2023-05-16 23:10:00+00:00,Boston Red Sox,Seattle Mariners,9.0,4.0,Nick Pivetta,Luis Castillo,Fenway Park,R,Regular Season,True
MLB,718150,2023-05-16 23:10:00+00:00,New York Mets,Tampa Bay Rays,5.0,8.0,Justin Verlander,Jalen Beeks,Citi Field,R,Regular Season,True
MLB,718151,2023-05-16 23:45:00+00:00,St. Louis Cardinals,Milwaukee Brewers,2.0,3.0,Jordan Montgomery,Wade Miley,Busch Stadium,R,Regular Season,True
MLB,718148,2023-05-17 00:05:00+00:00,Texas Rangers,Atlanta Braves,7.0,4.0,Dane Dunning,Jared Shuster,Globe Life Field,R,Regular Season,True
MLB,718147,2023-05-17 00:10:00+00:00,Chicago White Sox,Cleveland Guardians,8.0,3.0,Lance Lynn,Shane Bieber,Guaranteed Rate Field,R,Regular Season,True
MLB,718152,2023-05-17 00:10:00+00:00,Houston Astros,Chicago Cubs,7.0,3.0,Cristian Javier,Justin Steele,Minute Maid Park,R,Regular Season,True
MLB,718145,2023-05-17 00:40:00+00:00,Colorado Rockies,Cincinnati Reds,1.0,3.0,Chase Anderson,Brandon Williamson,Coors Field,R,Regular Season,True
MLB,718144,2023-05-17 01:40:00+00:00,San Diego Padres,Kansas City Royals,4.0,5.0,Seth Lugo,Brady Singer,Petco Park,R,Regular Season,True
MLB,718146,2023-05-17 01:40:00+00:00,Oakland Athletics,Arizona Diamondbacks,9.0,8.0,Kyle Muller,Tommy Henry,Oakland Coliseum,R,Regular Season,True
MLB,718156,2023-05-17 01:45:00+00:00,San Francisco Giants,Philadelphia Phillies,4.0,3.0,Alex Cobb,Zack Wheeler,Oracle Park,R,Regular Season,True
MLB,718141,2023-05-17 02:10:00+00:00,Los Angeles Dodgers,Minnesota Twins,1.0,5.0,Clayton Kershaw,Bailey Ober,Dodger Stadium,R,Regular Season,True
MLB,718142,2023-05-17 17:10:00+00:00,Detroit Tigers,Pittsburgh Pirates,0.0,8.0,Eduardo Rodriguez,Rich Hill,Comerica Park,R,Regular Season,True
MLB,718136,2023-05-17 19:10:00+00:00,Los Angeles Dodgers,Minnesota Twins,7.0,3.0,Dustin May,Sonny Gray,Dodger Stadium,R,Regular Season,True
MLB,718138,2023-05-17 19:10:00+00:00,Colorado Rockies,Cincinnati Reds,11.0,6.0,Austin Gomber,Graham Ashcraft,Coors Field,R,Regular Season,True
MLB,718139,2023-05-17 19:37:00+00:00,Oakland Athletics,Arizona Diamondbacks,3.0,5.0,Luis Medina,Ryne Nelson,Oakland Coliseum,R,Regular Season,True
MLB,718143,2023-05-17 19:45:00+00:00,San Francisco Giants,Philadelphia Phillies,7.0,4.0,Ross Stripling,Taijuan Walker,Oracle Park,R,Regular Season,True
MLB,718140,2023-05-17 20:10:00+00:00,San Diego Padres,Kansas City Royals,3.0,4.0,Yu Darvish,Carlos Hernández,Petco Park,R,Regular Season,True
MLB,718137,2023-05-17 22:35:00+00:00,Baltimore Orioles,Los Angeles Angels,3.0,1.0,Kyle Bradish,Griffin Canning,Oriole Park at Camden Yards,R,Regular Season,True
MLB,718132,2023-05-17 22:40:00+00:00,Miami Marlins,Washington Nationals,4.0,3.0,Edward Cabrera,MacKenzie Gore,loanDepot park,R,Regular Season,True
MLB,718134,2023-05-17 23:07:00+00:00,Toronto Blue Jays,New York Yankees,3.0,0.0,Chris Bassitt,Gerrit Cole,Rogers Centre,R,Regular Season,True
MLB,718133,2023-05-17 23:10:00+00:00,Boston Red Sox,Seattle Mariners,12.0,3.0,Brayan Bello,Marco Gonzales,Fenway Park,R,Regular Season,True
MLB,718135,2023-05-17 23:10:00+00:00,New York Mets,Tampa Bay Rays,8.0,7.0,Kodai Senga,Josh Fleming,Citi Field,R,Regular Season,True
MLB,718131,2023-05-17 23:45:00+00:00,St. Louis Cardinals,Milwaukee Brewers,3.0,0.0,Matthew Liberatore,Corbin Burnes,Busch Stadium,R,Regular Season,True
MLB,718126,2023-05-18 00:05:00+00:00,Texas Rangers,Atlanta Braves,5.0,6.0,Nathan Eovaldi,Spencer Strider,Globe Life Field,R,Regular Season,True
MLB,718127,2023-05-18 00:10:00+00:00,Houston Astros,Chicago Cubs,7.0,6.0,J.P. France,Drew Smyly,Minute Maid Park,R,Regular Season,True
MLB,718129,2023-05-18 00:10:00+00:00,Chicago White Sox,Cleveland Guardians,7.0,2.0,Mike Clevinger,Peyton Battenfield,Guaranteed Rate Field,R,Regular Season,True
MLB,718128,2023-05-18 16:35:00+00:00,Baltimore Orioles,Los Angeles Angels,5.0,6.0,Tyler Wells,Tyler Anderson,Oriole Park at Camden Yards,R,Regular Season,True
MLB,718122,2023-05-18 17:10:00+00:00,New York Mets,Tampa Bay Rays,3.0,2.0,Tylor Megill,Taj Bradley,Citi Field,R,Regular Season,True
MLB,718130,2023-05-18 17:10:00+00:00,Miami Marlins,Washington Nationals,5.0,3.0,Eury Pérez,Trevor Williams,loanDepot park,R,Regular Season,True
