league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,776901,2025-08-02 17:10:00+00:00,Tampa Bay Rays,Los Angeles Dodgers,4.0,0.0,Drew Rasmussen,Blake Snell,George M. Steinbrenner Field,R,Regular Season,True
MLB,776902,2025-08-02 18:20:00+00:00,Chicago Cubs,Baltimore Orioles,3.0,4.0,Matthew Boyd,Tomoyuki Sugano,Wrigley Field,R,Regular Season,True
MLB,776900,2025-08-02 19:07:00+00:00,Toronto Blue Jays,Kansas City Royals,4.0,2.0,Max Scherzer,Noah Cameron,Rogers Centre,R,Regular Season,True
MLB,776904,2025-08-02 19:10:00+00:00,Colorado Rockies,Pittsburgh Pirates,8.0,5.0,Austin Gomber,Paul Skenes,Coors Field,R,Regular Season,True
MLB,776903,2025-08-02 20:05:00+00:00,Washington Nationals,Milwaukee Brewers,2.0,8.0,Jake Irvin,Brandon Woodruff,Nationals Park,R,Regular Season,True
MLB,776912,2025-08-02 20:05:00+00:00,Philadelphia Phillies,Detroit Tigers,5.0,7.0,Zack Wheeler,Tarik Skubal,Citizens Bank Park,R,Regular Season,True
MLB,776897,2025-08-02 20:10:00+00:00,Seattle Mariners,Texas Rangers,4.0,6.0,Luis Castillo,Merrill Kelly,T-Mobile Park,R,Regular Season,True
MLB,776905,2025-08-02 20:10:00+00:00,Cleveland Guardians,Minnesota Twins,5.0,4.0,Tanner Bibee,Bailey Ober,Progressive Field,R,Regular Season,True
MLB,776909,2025-08-02 20:10:00+00:00,Boston Red Sox,Houston Astros,7.0,3.0,Walker Buehler,Colton Gordon,Fenway Park,R,Regular Season,True
MLB,776910,2025-08-02 20:10:00+00:00,Miami Marlins,New York Yankees,2.0,0.0,Eury Pérez,Cam Schlittler,loanDepot park,R,Regular Season,True
MLB,776911,2025-08-02 20:10:00+00:00,New York Mets,San Francisco Giants,12.0,6.0,Kodai Senga,Kai-Wei Teng,Citi Field,R,Regular Season,True
MLB,776899,2025-08-03 02:05:00+00:00,Athletics,Arizona Diamondbacks,2.0,7.0,J.T. Ginn,Zac Gallen,Sutter Health Park,R,Regular Season,True
MLB,776898,2025-08-03 02:07:00+00:00,Los Angeles Angels,Chicago White Sox,0.0,1.0,Kyle Hendricks,Aaron Civale,Angel Stadium,R,Regular Season,True
MLB,776896,2025-08-03 02:10:00+00:00,San Diego Padres,St. Louis Cardinals,5.0,8.0,Randy Vásquez,Michael McGreevy,Petco Park,R,Regular Season,True
MLB,776895,2025-08-03 15:35:00+00:00,Boston Red Sox,Houston Astros,6.0,1.0,Lucas Giolito,Framber Valdez,Fenway Park,R,Regular Season,True
MLB,776889,2025-08-03 16:10:00+00:00,Tampa Bay Rays,Los Angeles Dodgers,0.0,3.0,Joe Boyle,Yoshinobu Yamamoto,George M. Steinbrenner Field,R,Regular Season,True
MLB,776907,2025-08-03 17:05:00+00:00,Cincinnati Reds,Atlanta Braves,2.0,4.0,Chase Burns,Austin Cox,Bristol Motor Speedway,R,Regular Season,True
MLB,776894,2025-08-03 17:35:00+00:00,Washington Nationals,Milwaukee Brewers,3.0,14.0,Brad Lord,Logan Henderson,Nationals Park,R,Regular Season,True
MLB,776893,2025-08-03 17:37:00+00:00,Toronto Blue Jays,Kansas City Royals,4.0,7.0,Chris Bassitt,Seth Lugo,Rogers Centre,R,Regular Season,True
MLB,776887,2025-08-03 17:40:00+00:00,New York Mets,San Francisco Giants,4.0,12.0,Frankie Montas,Carson Whisenhunt,Citi Field,R,Regular Season,True
MLB,776891,2025-08-03 17:40:00+00:00,Miami Marlins,New York Yankees,7.0,3.0,Edward Cabrera,Luis Gil,loanDepot park,R,Regular Season,True
MLB,776892,2025-08-03 17:40:00+00:00,Cleveland Guardians,Minnesota Twins,4.0,5.0,Joey Cantillo,José Ureña,Progressive Field,R,Regular Season,True
MLB,776888,2025-08-03 18:20:00+00:00,Chicago Cubs,Baltimore Orioles,5.0,3.0,Colin Rea,Brandon Young,Wrigley Field,R,Regular Season,True
MLB,776886,2025-08-03 19:10:00+00:00,Colorado Rockies,Pittsburgh Pirates,5.0,9.0,Bradley Blalock,Mitch Keller,Coors Field,R,Regular Season,True
MLB,776881,2025-08-03 20:05:00+00:00,Athletics,Arizona Diamondbacks,4.0,6.0,Jack Perkins,Eduardo Rodriguez,Sutter Health Park,R,Regular Season,True
MLB,776885,2025-08-03 20:07:00+00:00,Los Angeles Angels,Chicago White Sox,8.0,5.0,Jack Kochanowicz,Sean Burke,Angel Stadium,R,Regular Season,True
MLB,776883,2025-08-03 20:10:00+00:00,Seattle Mariners,Texas Rangers,5.0,4.0,Logan Evans,Jacob deGrom,T-Mobile Park,R,Regular Season,True
MLB,776884,2025-08-03 20:10:00+00:00,San Diego Padres,St. Louis Cardinals,7.0,3.0,Dylan Cease,Andre Pallante,Petco Park,R,Regular Season,True
MLB,776890,2025-08-03 23:10:00+00:00,Philadelphia Phillies,Detroit Tigers,2.0,0.0,Cristopher Sánchez,Charlie Morton,Citizens Bank Park,R,Regular Season,True
MLB,776874,2025-08-04 22:40:00+00:00,Detroit Tigers,Minnesota Twins,6.0,3.0,Casey Mize,Travis Adams,Comerica Park,R,Regular Season,True
