league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,662541,2022-07-04 15:05:00+00:00,Washington Nationals,Miami Marlins,2.0,3.0,Patrick Corbin,Braxton Garrett,Nationals Park,R,Regular Season,True
MLB,661073,2022-07-04 17:05:00+00:00,Baltimore Orioles,Texas Rangers,7.0,6.0,Dean Kremer,Dane Dunning,Oriole Park at Camden Yards,R,Regular Season,True
MLB,662906,2022-07-04 17:10:00+00:00,Detroit Tigers,Cleveland Guardians,4.0,1.0,Garrett Hill,Zach Plesac,Comerica Park,R,Regular Season,True
MLB,663251,2022-07-04 17:35:00+00:00,Boston Red Sox,Tampa Bay Rays,4.0,0.0,Austin Davis,Jalen Beeks,Fenway Park,R,Regular Season,True
MLB,661181,2022-07-04 20:10:00+00:00,Milwaukee Brewers,Chicago Cubs,5.0,2.0,Eric Lauer,Justin Steele,American Family Field,R,Regular Season,True
MLB,662874,2022-07-04 20:10:00+00:00,Houston Astros,Kansas City Royals,7.0,6.0,Jake Odorizzi,Jonathan Heasley,Minute Maid Park,R,Regular Season,True
MLB,663343,2022-07-04 22:10:00+00:00,Arizona Diamondbacks,San Francisco Giants,8.0,3.0,Madison Bumgarner,Carlos Rodón,Chase Field,R,Regular Season,True
MLB,662270,2022-07-04 22:40:00+00:00,San Diego Padres,Seattle Mariners,2.0,8.0,Sean Manaea,Chris Flexen,Petco Park,R,Regular Season,True
MLB,662841,2022-07-04 22:40:00+00:00,Detroit Tigers,Cleveland Guardians,5.0,3.0,Alex Faedo,Konnor Pilkington,Comerica Park,R,Regular Season,True
MLB,663036,2022-07-04 22:40:00+00:00,Cincinnati Reds,New York Mets,4.0,7.0,Hunter Greene,Taijuan Walker,Great American Ball Park,R,Regular Season,True
MLB,661511,2022-07-04 23:20:00+00:00,Atlanta Braves,St. Louis Cardinals,6.0,3.0,Kyle Wright,Dakota Hudson,Truist Park,R,Regular Season,True
MLB,661452,2022-07-05 00:10:00+00:00,Chicago White Sox,Minnesota Twins,3.0,6.0,Johnny Cueto,Dylan Bundy,Guaranteed Rate Field,R,Regular Season,True
MLB,662355,2022-07-05 01:07:00+00:00,Oakland Athletics,Toronto Blue Jays,5.0,1.0,Cole Irvin,Alek Manoah,Oakland Coliseum,R,Regular Season,True
MLB,662732,2022-07-05 01:10:00+00:00,Los Angeles Dodgers,Colorado Rockies,5.0,3.0,Julio Urías,Kyle Freeland,Dodger Stadium,R,Regular Season,True
MLB,662226,2022-07-05 20:10:00+00:00,San Diego Padres,Seattle Mariners,2.0,6.0,Mike Clevinger,Logan Gilbert,Petco Park,R,Regular Season,True
MLB,661379,2022-07-05 22:40:00+00:00,Miami Marlins,Los Angeles Angels,2.0,1.0,Sandy Alcantara,Noah Syndergaard,loanDepot park,R,Regular Season,True
MLB,663035,2022-07-05 22:40:00+00:00,Cincinnati Reds,New York Mets,1.0,0.0,Nick Lodolo,Max Scherzer,Great American Ball Park,R,Regular Season,True
MLB,661244,2022-07-05 23:05:00+00:00,Baltimore Orioles,Texas Rangers,10.0,9.0,Austin Voth,Spencer Howard,Oriole Park at Camden Yards,R,Regular Season,True
MLB,661578,2022-07-05 23:05:00+00:00,Philadelphia Phillies,Washington Nationals,11.0,0.0,Cristopher Sánchez,Paolo Espino,Citizens Bank Park,R,Regular Season,True
MLB,662329,2022-07-05 23:05:00+00:00,Pittsburgh Pirates,New York Yankees,5.0,2.0,Jose Quintana,Jameson Taillon,PNC Park,R,Regular Season,True
MLB,662905,2022-07-05 23:10:00+00:00,Detroit Tigers,Cleveland Guardians,11.0,4.0,Drew Hutchison,Cal Quantrill,Comerica Park,R,Regular Season,True
MLB,663245,2022-07-05 23:10:00+00:00,Boston Red Sox,Tampa Bay Rays,4.0,8.0,Nick Pivetta,Jeffrey Springs,Fenway Park,R,Regular Season,True
MLB,661510,2022-07-05 23:20:00+00:00,Atlanta Braves,St. Louis Cardinals,7.0,1.0,Ian Anderson,Andre Pallante,Truist Park,R,Regular Season,True
MLB,661187,2022-07-06 00:10:00+00:00,Milwaukee Brewers,Chicago Cubs,3.0,8.0,Jason Alexander,Kyle Hendricks,American Family Field,R,Regular Season,True
MLB,661426,2022-07-06 00:10:00+00:00,Chicago White Sox,Minnesota Twins,2.0,8.0,Michael Kopech,Josh Winder,Guaranteed Rate Field,R,Regular Season,True
MLB,662847,2022-07-06 00:10:00+00:00,Houston Astros,Kansas City Royals,9.0,7.0,Luis Garcia,Zack Greinke,Minute Maid Park,R,Regular Season,True
MLB,662354,2022-07-06 01:40:00+00:00,Oakland Athletics,Toronto Blue Jays,5.0,3.0,Adrián Martinez,Yusei Kikuchi,Oakland Coliseum,R,Regular Season,True
MLB,663320,2022-07-06 01:40:00+00:00,Arizona Diamondbacks,San Francisco Giants,6.0,2.0,Tyler Gilbert,Alex Wood,Chase Field,R,Regular Season,True
MLB,662731,2022-07-06 02:10:00+00:00,Los Angeles Dodgers,Colorado Rockies,5.0,2.0,Ryan Pepiot,Germán Márquez,Dodger Stadium,R,Regular Season,True
MLB,662814,2022-07-06 17:10:00+00:00,Detroit Tigers,Cleveland Guardians,8.0,2.0,Michael Pineda,Shane Bieber,Comerica Park,R,Regular Season,True
MLB,661225,2022-07-06 18:10:00+00:00,Milwaukee Brewers,Chicago Cubs,1.0,2.0,Corbin Burnes,Adrian Sampson,American Family Field,R,Regular Season,True
MLB,661413,2022-07-06 18:10:00+00:00,Chicago White Sox,Minnesota Twins,9.0,8.0,Lance Lynn,Joe Ryan,Guaranteed Rate Field,R,Regular Season,True
MLB,662353,2022-07-06 19:37:00+00:00,Oakland Athletics,Toronto Blue Jays,1.0,2.0,James Kaprielian,José Berríos,Oakland Coliseum,R,Regular Season,True
MLB,661378,2022-07-06 22:40:00+00:00,Miami Marlins,Los Angeles Angels,2.0,5.0,Trevor Rogers,Shohei Ohtani,loanDepot park,R,Regular Season,True
MLB,663051,2022-07-06 22:40:00+00:00,Cincinnati Reds,New York Mets,3.0,8.0,Graham Ashcraft,David Peterson,Great American Ball Park,R,Regular Season,True
MLB,661245,2022-07-06 23:05:00+00:00,Baltimore Orioles,Texas Rangers,2.0,1.0,Spenser Watkins,Glenn Otto Jr.,Oriole Park at Camden Yards,R,Regular Season,True
MLB,661564,2022-07-06 23:05:00+00:00,Philadelphia Phillies,Washington Nationals,2.0,3.0,Aaron Nola,Josiah Gray,Citizens Bank Park,R,Regular Season,True
MLB,662328,2022-07-06 23:05:00+00:00,Pittsburgh Pirates,New York Yankees,0.0,16.0,Mitch Keller,Luis Severino,PNC Park,R,Regular Season,True
MLB,663244,2022-07-06 23:10:00+00:00,Boston Red Sox,Tampa Bay Rays,1.0,7.0,Brayan Bello,Corey Kluber,Fenway Park,R,Regular Season,True
MLB,661509,2022-07-06 23:20:00+00:00,Atlanta Braves,St. Louis Cardinals,3.0,0.0,Max Fried,Miles Mikolas,Truist Park,R,Regular Season,True
MLB,662747,2022-07-07 00:10:00+00:00,Houston Astros,Kansas City Royals,4.0,7.0,Cristian Javier,Brad Keller,Minute Maid Park,R,Regular Season,True
MLB,663318,2022-07-07 01:40:00+00:00,Arizona Diamondbacks,San Francisco Giants,5.0,7.0,Merrill Kelly,Alex Cobb,Chase Field,R,Regular Season,True
MLB,662630,2022-07-07 02:10:00+00:00,Los Angeles Dodgers,Colorado Rockies,2.0,1.0,Mitch White,José Ureña,Dodger Stadium,R,Regular Season,True
MLB,662746,2022-07-07 18:10:00+00:00,Houston Astros,Kansas City Royals,5.0,2.0,Justin Verlander,Kris Bubic,Minute Maid Park,R,Regular Season,True
MLB,663071,2022-07-07 18:10:00+00:00,Cincinnati Reds,Pittsburgh Pirates,2.0,4.0,Mike Minor,Roansy Contreras,Great American Ball Park,R,Regular Season,True
MLB,661566,2022-07-07 20:05:00+00:00,Philadelphia Phillies,Washington Nationals,5.0,3.0,Bailey Falter,Joan Adon,Citizens Bank Park,R,Regular Season,True
MLB,661091,2022-07-07 23:05:00+00:00,Baltimore Orioles,Los Angeles Angels,4.0,1.0,Jordan Lyles,Chase Silseth,Oriole Park at Camden Yards,R,Regular Season,True
MLB,662508,2022-07-07 23:10:00+00:00,New York Mets,Miami Marlins,10.0,0.0,Trevor Williams,Daniel Castano,Citi Field,R,Regular Season,True
MLB,663140,2022-07-07 23:10:00+00:00,Cincinnati Reds,Pittsburgh Pirates,5.0,1.0,Jeff Hoffman,Bryse Wilson,Great American Ball Park,R,Regular Season,True
MLB,663233,2022-07-07 23:10:00+00:00,Boston Red Sox,New York Yankees,5.0,6.0,Josh Winckowski,Gerrit Cole,Fenway Park,R,Regular Season,True
MLB,661521,2022-07-07 23:20:00+00:00,Atlanta Braves,St. Louis Cardinals,2.0,3.0,Spencer Strider,Matthew Liberatore,Truist Park,R,Regular Season,True
MLB,661425,2022-07-08 00:10:00+00:00,Chicago White Sox,Detroit Tigers,1.0,2.0,Dylan Cease,Beau Brieske,Guaranteed Rate Field,R,Regular Season,True
MLB,662253,2022-07-08 01:40:00+00:00,San Diego Padres,San Francisco Giants,2.0,1.0,Joe Musgrove,Logan Webb,Petco Park,R,Regular Season,True
MLB,663317,2022-07-08 01:40:00+00:00,Arizona Diamondbacks,Colorado Rockies,3.0,4.0,Dallas Keuchel,Austin Gomber,Chase Field,R,Regular Season,True
MLB,662156,2022-07-08 02:10:00+00:00,Seattle Mariners,Toronto Blue Jays,8.0,3.0,Marco Gonzales,Anthony Banda,T-Mobile Park,R,Regular Season,True
MLB,662730,2022-07-08 02:10:00+00:00,Los Angeles Dodgers,Chicago Cubs,5.0,3.0,Tony Gonsolin,Mark Leiter Jr.,Dodger Stadium,R,Regular Season,True
MLB,663053,2022-07-08 22:40:00+00:00,Cincinnati Reds,Tampa Bay Rays,2.0,1.0,Luis Castillo,Shane McClanahan,Great American Ball Park,R,Regular Season,True
MLB,661108,2022-07-08 23:05:00+00:00,Baltimore Orioles,Los Angeles Angels,5.0,4.0,Tyler Wells,Reid Detmers,Oriole Park at Camden Yards,R,Regular Season,True
MLB,662498,2022-07-08 23:10:00+00:00,New York Mets,Miami Marlins,2.0,5.0,Chris Bassitt,Pablo López,Citi Field,R,Regular Season,True
MLB,663202,2022-07-08 23:10:00+00:00,Boston Red Sox,New York Yankees,5.0,12.0,Connor Seabold,Nestor Cortes,Fenway Park,R,Regular Season,True
MLB,661522,2022-07-08 23:20:00+00:00,Atlanta Braves,Washington Nationals,12.0,2.0,Charlie Morton,Erick Fedde,Truist Park,R,Regular Season,True
MLB,661843,2022-07-09 00:05:00+00:00,Texas Rangers,Minnesota Twins,6.0,5.0,Jon Gray,Sonny Gray,Globe Life Field,R,Regular Season,True
MLB,661177,2022-07-09 00:10:00+00:00,Milwaukee Brewers,Pittsburgh Pirates,4.0,3.0,Aaron Ashby,JT Brubaker,American Family Field,R,Regular Season,True
