league,game_id,datetime,home,away,home_score,away_score,home_starter,away_starter,venue,game_type,series_description,confirmed_starters
MLB,663143,2022-05-20 18:20:00+00:00,Chicago Cubs,Arizona Diamondbacks,6.0,10.0,Kyle Hendricks,Humberto Castellanos,Wrigley Field,R,Regular Season,True
MLB,662506,2022-05-20 22:35:00+00:00,Pittsburgh Pirates,St. Louis Cardinals,3.0,5.0,Zach Thompson,Adam Wainwright,PNC Park,R,Regular Season,True
MLB,661339,2022-05-20 22:40:00+00:00,Miami Marlins,Atlanta Braves,3.0,5.0,Trevor Rogers,Charlie Morton,loanDepot park,R,Regular Season,True
MLB,661348,2022-05-20 23:05:00+00:00,Baltimore Orioles,Tampa Bay Rays,8.0,6.0,Tyler Wells,Jalen Beeks,Oriole Park at Camden Yards,R,Regular Season,True
MLB,661632,2022-05-20 23:05:00+00:00,Philadelphia Phillies,Los Angeles Dodgers,1.0,4.0,Ranger Suarez,Julio Urías,Citizens Bank Park,R,Regular Season,True
MLB,661766,2022-05-20 23:07:00+00:00,Toronto Blue Jays,Cincinnati Reds,2.0,1.0,Hyun Jin Ryu,Luis Castillo,Rogers Centre,R,Regular Season,True
MLB,663135,2022-05-20 23:10:00+00:00,Cleveland Guardians,Detroit Tigers,6.0,1.0,Aaron Civale,Tarik Skubal,Progressive Field,R,Regular Season,True
MLB,663268,2022-05-20 23:10:00+00:00,Boston Red Sox,Seattle Mariners,7.0,3.0,Michael Wacha,Robbie Ray,Fenway Park,R,Regular Season,True
MLB,661195,2022-05-21 00:10:00+00:00,Milwaukee Brewers,Washington Nationals,7.0,0.0,Eric Lauer,Erick Fedde,American Family Field,R,Regular Season,True
MLB,662714,2022-05-21 00:10:00+00:00,Kansas City Royals,Minnesota Twins,4.0,6.0,Daniel Lynch IV,Devin Smeltzer,Kauffman Stadium,R,Regular Season,True
MLB,662764,2022-05-21 00:10:00+00:00,Houston Astros,Texas Rangers,0.0,3.0,Cristian Javier,Martín Pérez,Minute Maid Park,R,Regular Season,True
MLB,663449,2022-05-21 01:38:00+00:00,Los Angeles Angels,Oakland Athletics,2.0,4.0,Chase Silseth,Paul Blackburn,Angel Stadium,R,Regular Season,True
MLB,662078,2022-05-21 02:15:00+00:00,San Francisco Giants,San Diego Padres,7.0,8.0,Jakob Junis,Sean Manaea,Oracle Park,R,Regular Season,True
MLB,661289,2022-05-21 17:05:00+00:00,New York Yankees,Chicago White Sox,7.0,5.0,Nestor Cortes,Dallas Keuchel,Yankee Stadium,R,Regular Season,True
MLB,663194,2022-05-21 18:20:00+00:00,Chicago Cubs,Arizona Diamondbacks,6.0,7.0,Justin Steele,Madison Bumgarner,Wrigley Field,R,Regular Season,True
MLB,661793,2022-05-21 19:07:00+00:00,Toronto Blue Jays,Cincinnati Reds,3.0,1.0,Alek Manoah,Hunter Greene,Rogers Centre,R,Regular Season,True
MLB,663002,2022-05-21 19:10:00+00:00,Colorado Rockies,New York Mets,1.0,5.0,Germán Márquez,Carlos Carrasco,Coors Field,R,Regular Season,True
